FirstLast,Last,First,MidInit,MidName,Year,YearsPlayed
Michael Reynal,Reynal,Michael,A.,,1983,4
Glenn Layendecker,Layendecker,Glenn,W.,,1983,4
Neil Solomon,Solomon,Neil,A.,,1983,2
Richard Crews,Crews,Richard,C.,,1983,2
Charles Neuhaus,Neuhaus,Charles,E.,,1983,2
Michael Cavallon,Cavallon,Michael,F.,,1983,2
David Jordan,Jordan,David,H.,,1983,1
Mercer Bullard,Bullard,Mercer,E.,,1983,1
David Gerger,Gerger,David,B.,,1982,1
Hunter Reisner,Reisner,Hunter,S.,,1982,1
Clare Draper,Draper,Clare,H.,4th,1982,3
Alberto Franco,Franco,Alberto,,,1982,4
William McAfee,McAfee,William,A.,,1982,2
Steven Zuckerman,Zuckerman,Steven,A.,,1982,2
Mark Tenhundfeld,Tenhundfeld,Mark,J.,,1982,2
David Labriola,Labriola,David,K.,,1982,2
Stephen Prothero,Prothero,Stephen,R.,,1982,2
Harold Wrobel,Wrobel,Harold,S.,,1982,2
Douglas Kelly,Kelly,Douglas,J.,,1981,1
Michael Sicular,Sicular,Michael,J.,,1981,1
Steven Sorscher,Sorscher,Steven,M.,,1981,1
Malcolm Whitman,Whitman,Malcolm,R.,,1981,1
John Stiepel,Stiepel,John,F.,,1981,4
Stewart Hudson,Hudson,Stewart,J.,,1981,3
Thomas Simcik,Simcik,Thomas,J.,,1981,3
Keith Rudman,Rudman,Keith,M.,,1981,3
James Broder,Broder,James,S.,,1981,1
Steven Epstein,Epstein,Steven,A.,,1981,2
Edward Lazarus,Lazarus,Edward,P.,,1981,2
Francis Steel,Steel,Francis,P.,,1981,2
Robert Gould,Gould,Robert,R.,,1981,2
Lewis Chodish,Chodish,Lewis,A.,,1981,2
James Murphy,Murphy,James,A.,,1981,1
Michael Sircular,Sircular,Michael,J.,,1981,1
William Raszka,Raszka,William,V.,,1981,1
Willis Hulings,Hulings,Willis,J.,,1980,1
Hal Freeman,Freeman,Hal,,,1980,1
David Huskey,Huskey,David,K.,,1980,1
Dale De La Torre,De La Torre,Dale,R.,,1980,1
William Brady,Brady,William,F.,3rd,1980,3
William Laffer,Laffer,William,G.,,1980,1
William Kerr,Kerr,William,O.,,1980,1
Todd Hillman,Hillman,Todd,H.,,1980,2
Elliot Peters,Peters,Elliot,R.,,1980,1
Andrew Fleming,Fleming,Andrew,T.,,1980,2
James Chud,Chud,James,,,1980,1
Eric Sorscher,Sorscher,Eric,J.,,1979,1
Laurence Leeds,Leeds,Laurence,C.,“Cary”,1979,2
Bradley Dressler,Dressler,Bradley,P.,,1979,3
Gregory Kim,Kim,Gregory,R.,,1979,1
Geoffrey Tabin,Tabin,Geoffrey,C.,,1978,3
Barnaby Starr,Starr,Barnaby,F.,,1978,1
