FirstLast,Year,YearsPlayed,Gender,fuzz_ratio,fuzz_pratio,fuzz_tokensort,fuzz_tokenset,fuzz_wratio,tennis_yn,School_yn,SameName_yn,SameTennis_yn,Decade,prediction
Janis Dubno,1981,2,0,100.0,100.0,100.0,100.0,100.0,1.0,1.0,1.0,2.0,1980,1.0
Stacy Riely,1982,4,0,25.0,55.0,32.0,32.0,50.0,0.0,0.0,0.0,0.0,1980,0.0
Diana Piotrow,1982,4,0,100.0,100.0,100.0,100.0,100.0,0.0,1.0,1.0,1.0,1980,1.0
Kathleen Dalton,1982,3,0,67.0,73.0,69.0,69.0,69.0,0.0,0.0,0.0,0.0,1980,0.0
Pamela Wolf,1983,4,0,27.0,27.0,36.0,36.0,34.0,0.0,1.0,0.0,0.0,1980,0.0
Elizabeth Marlin,1983,1,0,76.0,94.0,80.0,100.0,86.0,0.0,0.0,0.0,0.0,1980,0.0
Amy Levin,1983,1,0,67.0,67.0,67.0,67.0,67.0,1.0,1.0,0.0,1.0,1980,1.0
Kristin Larson,1983,2,0,56.0,57.0,38.0,38.0,56.0,0.0,1.0,0.0,0.0,1980,0.0
Christine Grimm,1983,1,0,22.0,17.0,37.0,37.0,35.0,0.0,0.0,0.0,0.0,1980,0.0
Dede Fox,1983,2,0,16.0,25.0,8.0,8.0,22.0,0.0,0.0,0.0,0.0,1980,0.0
Laura Cutler,1984,1,0,100.0,100.0,100.0,100.0,100.0,0.0,1.0,1.0,1.0,1980,1.0
Sarah Duff,1984,2,0,37.0,30.0,22.0,22.0,37.0,0.0,0.0,0.0,0.0,1980,0.0
Jacqueline Geller,1984,3,0,47.0,54.0,40.0,40.0,47.0,0.0,1.0,0.0,0.0,1980,0.0
Anne Hutchins,1984,1,0,96.0,92.0,96.0,96.0,96.0,0.0,1.0,0.0,0.0,1980,1.0
Kathleen Keating,1984,1,0,100.0,100.0,100.0,100.0,100.0,0.0,1.0,1.0,1.0,1980,1.0
Elizabeth Mairs,1984,1,0,81.0,92.0,85.0,90.0,86.0,0.0,1.0,0.0,0.0,1980,0.0
Ellen Markowitz,1984,4,0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,1.0,1.0,1980,0.0
Kristin DiMambro,1984,1,0,94.0,94.0,94.0,94.0,94.0,1.0,1.0,0.0,1.0,1980,1.0
Constance Yowell,1985,4,0,77.0,80.0,77.0,77.0,77.0,0.0,1.0,0.0,0.0,1980,0.0
Mary Woolomes,1985,1,0,26.0,23.0,26.0,26.0,26.0,0.0,0.0,0.0,0.0,1980,0.0
Gretchen Biggs,1985,2,0,15.0,17.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,1980,0.0
Lisa Katz,1986,2,0,78.0,67.0,78.0,100.0,86.0,0.0,0.0,0.0,0.0,1980,0.0
Hilary Bates,1986,1,0,100.0,100.0,100.0,100.0,100.0,0.0,1.0,1.0,1.0,1980,1.0
Jennifer Colville,1986,3,0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,1.0,1.0,1980,0.0
Daniella Duke,1986,3,0,21.0,31.0,27.0,27.0,34.0,0.0,0.0,0.0,0.0,1980,0.0
Nancy Mahon,1986,1,0,100.0,100.0,100.0,100.0,100.0,1.0,1.0,1.0,2.0,1980,1.0
Wendy Schwarz,1986,1,0,96.0,92.0,96.0,96.0,96.0,0.0,1.0,0.0,0.0,1980,1.0
Phoebe Trubowitz,1986,1,0,89.0,100.0,91.0,100.0,95.0,0.0,1.0,0.0,0.0,1980,1.0
Kathy Wagner,1986,1,0,92.0,83.0,92.0,92.0,92.0,0.0,1.0,0.0,0.0,1980,1.0
Paula O'Connor,1987,1,0,96.0,92.0,89.0,89.0,96.0,0.0,1.0,0.0,0.0,1980,1.0
Lisa Gollob,1987,4,0,48.0,50.0,48.0,57.0,54.0,1.0,1.0,0.0,1.0,1980,1.0
Naomi Siegel,1987,1,0,33.0,33.0,25.0,25.0,33.0,0.0,0.0,0.0,0.0,1980,0.0
Meghan McMahon,1987,4,0,96.0,92.0,96.0,96.0,96.0,0.0,0.0,0.0,0.0,1980,1.0
Marci Kanstoroom,1988,2,0,100.0,100.0,100.0,100.0,100.0,0.0,1.0,1.0,1.0,1980,1.0
Molly Quest,1988,3,0,17.0,18.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,1980,0.0
Elizabeth Solomon,1988,1,0,100.0,100.0,100.0,100.0,100.0,0.0,1.0,1.0,1.0,1980,1.0
Laura Wheeler,1988,2,0,52.0,60.0,61.0,67.0,64.0,0.0,1.0,0.0,0.0,1980,0.0
Davida Pines,1989,1,0,70.0,88.0,74.0,74.0,77.0,1.0,1.0,0.0,1.0,1980,1.0
Jean Park,1989,2,0,100.0,100.0,100.0,100.0,100.0,0.0,1.0,1.0,1.0,1980,1.0
Diana Lazarus,1989,3,0,100.0,100.0,100.0,100.0,100.0,0.0,1.0,1.0,1.0,1980,1.0
Andrea Williams,1989,3,0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,1.0,1.0,1980,0.0
Elizabeth Chabner,1989,2,0,65.0,100.0,68.0,100.0,90.0,0.0,0.0,0.0,0.0,1980,1.0
Jennifer Brown,1989,3,0,100.0,100.0,100.0,100.0,100.0,0.0,1.0,1.0,1.0,1980,1.0
Elizabeth Baldwin,1989,3,0,68.0,100.0,71.0,100.0,90.0,0.0,0.0,0.0,0.0,1980,1.0
Suzanne Irving,1989,3,0,31.0,33.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,1980,0.0
Jennifer Mahoney,1990,3,0,62.0,69.0,62.0,76.0,72.0,1.0,1.0,0.0,1.0,1990,1.0
Karen Salmon,1990,3,0,100.0,100.0,100.0,100.0,100.0,0.0,1.0,1.0,1.0,1990,1.0
Nina Talbot,1990,2,0,26.0,27.0,17.0,17.0,26.0,0.0,0.0,0.0,0.0,1990,0.0
Jamison Williams,1990,2,0,80.0,100.0,80.0,100.0,90.0,0.0,1.0,0.0,0.0,1990,1.0
Marla Grossman,1990,3,0,100.0,100.0,100.0,100.0,100.0,0.0,1.0,1.0,1.0,1990,1.0
Brett DiMambro,1990,2,0,78.0,100.0,78.0,100.0,90.0,0.0,1.0,0.0,0.0,1990,1.0
Sherrod Blankner,1990,1,0,100.0,100.0,100.0,100.0,100.0,1.0,1.0,1.0,2.0,1990,1.0
Gillian Thomas,1990,1,0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,1.0,1.0,1990,1.0
Diane Schwab,1990,2,0,29.0,33.0,29.0,29.0,29.0,0.0,0.0,0.0,0.0,1990,0.0
Suzanne Yelen,1990,3,0,24.0,31.0,27.0,27.0,34.0,0.0,0.0,0.0,0.0,1990,0.0
Lynn Rosenstrach,1991,3,0,82.0,100.0,82.0,100.0,95.0,0.0,1.0,0.0,0.0,1990,1.0
Kim Ondreck,1991,2,0,58.0,100.0,61.0,100.0,90.0,0.0,1.0,0.0,0.0,1990,1.0
Kathrin Linz,1991,2,0,43.0,50.0,36.0,36.0,43.0,0.0,0.0,0.0,0.0,1990,0.0
Trish Farmer,1991,1,0,25.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,1990,0.0
Ann Curzan,1991,1,0,95.0,90.0,95.0,95.0,95.0,0.0,0.0,0.0,0.0,1990,1.0
Lisa Reagan,1991,2,0,25.0,27.0,25.0,25.0,25.0,0.0,1.0,0.0,0.0,1990,0.0
Laura Flynn,1992,3,0,73.0,100.0,73.0,100.0,90.0,1.0,1.0,0.0,1.0,1990,1.0
Sari Granat,1992,3,0,100.0,100.0,100.0,100.0,100.0,0.0,1.0,1.0,1.0,1990,1.0
Stephanie Lowell,1993,1,0,100.0,100.0,100.0,100.0,100.0,1.0,1.0,1.0,2.0,1990,1.0
Caroline Johnston,1993,3,0,91.0,88.0,91.0,91.0,91.0,0.0,0.0,0.0,0.0,1990,1.0
Emily Bazelon,1993,1,0,36.0,38.0,36.0,36.0,36.0,0.0,0.0,0.0,0.0,1990,0.0
Adrienne Amato,1993,3,0,17.0,29.0,26.0,26.0,39.0,0.0,0.0,0.0,0.0,1990,0.0
Kari Weiner,1993,3,0,21.0,36.0,28.0,28.0,40.0,0.0,0.0,0.0,0.0,1990,0.0
Michele Saba,1993,2,0,33.0,33.0,34.0,34.0,34.0,0.0,0.0,0.0,0.0,1990,0.0
Allissa Hamilton,1994,1,0,90.0,87.0,90.0,90.0,90.0,0.0,0.0,0.0,0.0,1990,1.0
Taryn Reitzel,1994,2,0,52.0,60.0,61.0,67.0,64.0,0.0,0.0,0.0,0.0,1990,0.0
Georgia Levenson,1994,3,0,80.0,100.0,80.0,100.0,90.0,0.0,1.0,0.0,0.0,1990,1.0
Sandy Kim,1994,1,0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,1.0,1.0,1990,1.0
Audrey Delaney,1994,3,0,100.0,100.0,100.0,100.0,100.0,0.0,1.0,1.0,1.0,1990,1.0
Alexandra Dell,1994,3,0,100.0,100.0,100.0,100.0,100.0,0.0,1.0,1.0,1.0,1990,1.0
Lee Ann Denley,1994,1,0,100.0,100.0,100.0,100.0,100.0,0.0,1.0,1.0,1.0,1990,1.0
Kristina Dell,1994,3,0,100.0,100.0,100.0,100.0,100.0,0.0,1.0,1.0,1.0,1990,1.0
Cindy Kuragami,1995,3,0,85.0,100.0,88.0,100.0,95.0,0.0,0.0,0.0,0.0,1990,1.0
Ngozi Okorafor,1995,3,0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,1.0,1.0,1990,1.0
Lisa Barna,1996,2,0,70.0,70.0,35.0,70.0,70.0,0.0,1.0,0.0,0.0,1990,0.0
Heath Friedman,1996,2,0,80.0,93.0,85.0,100.0,86.0,1.0,1.0,0.0,1.0,1990,1.0
Tina Ansari,1997,1,0,82.0,82.0,100.0,100.0,100.0,0.0,1.0,0.0,0.0,1990,1.0
Mary McLean,1997,1,0,100.0,100.0,100.0,100.0,100.0,0.0,1.0,1.0,1.0,1990,1.0
Leah Boucher,1997,1,0,100.0,100.0,100.0,100.0,100.0,0.0,1.0,1.0,1.0,1990,1.0
Clara Chun,1997,2,0,83.0,100.0,83.0,100.0,95.0,0.0,0.0,0.0,0.0,1990,1.0
Wendy Chang,1998,1,0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,1.0,1.0,1990,1.0
Naomi Zeff,1999,3,0,100.0,100.0,100.0,100.0,100.0,0.0,1.0,1.0,1.0,1990,1.0
Denitza Blagev,1999,3,0,100.0,100.0,100.0,100.0,100.0,0.0,1.0,1.0,1.0,1990,1.0
Maria Parad,1999,2,0,27.0,27.0,43.0,43.0,40.0,0.0,0.0,0.0,0.0,1990,0.0
Barbara Ellis,2000,1,0,100.0,100.0,100.0,100.0,100.0,1.0,1.0,1.0,2.0,2000,1.0
Kirsten Gross,2000,3,0,52.0,62.0,45.0,70.0,66.0,1.0,1.0,0.0,1.0,2000,1.0
Cynthia Obsitnik,2001,3,0,100.0,100.0,100.0,100.0,100.0,1.0,1.0,1.0,2.0,2000,1.0
Lauren Muehl,2001,3,0,75.0,75.0,75.0,75.0,75.0,0.0,1.0,0.0,0.0,2000,0.0
Andrea Goldberg,2002,3,0,58.0,78.0,61.0,61.0,79.0,0.0,1.0,0.0,0.0,2000,0.0
Elizabeth Kaufman,2003,3,0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,1.0,1.0,2000,1.0
Meagan Caldwell,2004,2,0,83.0,100.0,83.0,100.0,95.0,0.0,1.0,0.0,0.0,2000,1.0
Ashley Martin,2004,3,0,100.0,100.0,100.0,100.0,100.0,1.0,1.0,1.0,2.0,2000,1.0
Betsy Shapiro,2004,1,0,67.0,64.0,67.0,67.0,67.0,0.0,0.0,0.0,0.0,2000,0.0
Margaret Purcell,2004,3,0,21.0,23.0,28.0,28.0,27.0,0.0,0.0,0.0,0.0,2000,0.0
Reshmi Srinath,2005,4,0,82.0,100.0,88.0,100.0,95.0,0.0,1.0,0.0,0.0,2000,1.0
Stephanie White,2005,4,0,81.0,100.0,81.0,100.0,95.0,1.0,1.0,0.0,1.0,2000,1.0
Juliette Vartikar,2006,3,0,100.0,100.0,100.0,100.0,100.0,0.0,1.0,1.0,1.0,2000,1.0
Christine Alford,2007,4,0,100.0,100.0,100.0,100.0,100.0,1.0,1.0,1.0,2.0,2000,1.0
Aimee Kim,2007,3,0,26.0,33.0,26.0,26.0,35.0,0.0,0.0,0.0,0.0,2000,0.0
Olivia Nix,2007,4,0,100.0,100.0,100.0,100.0,100.0,1.0,1.0,1.0,2.0,2000,1.0
Rashmee Patil,2007,3,0,100.0,100.0,100.0,100.0,100.0,0.0,1.0,1.0,1.0,2000,1.0
Lindsey Dashiell,2008,4,0,84.0,100.0,89.0,100.0,95.0,1.0,1.0,0.0,1.0,2000,1.0
