FirstLast,Last,First,MidInit,Year,YearsPlayed
Marci Kanstoroom,Kanstoroom,Marci,,1988,2
Molly Quest,Quest,Molly,,1988,3
Elizabeth Solomon,Solomon,Elizabeth,,1988,1
Laura Wheeler,Wheeler,Laura,,1988,2
Elizabeth Baldwin,Baldwin,Elizabeth,,1989,3
Jennifer Brown,Brown,Jennifer,,1989,3
Elizabeth Chabner,Chabner,Elizabeth,,1989,2
Carolyn Hatcher,Hatcher,Carolyn,,1989,2
Suzanne Irving,Irving,Suzanne,,1989,3
Diana Lazarus,Lazarus,Diana,,1989,3
Jean Park,Park,Jean,,1989,2
Davida Pines,Pines,Davida,,1989,1
Lori Steinberg,Steinberg,Lori,,1989,1
Andrea Williams,Williams,Andrea,,1989,3
Sherrod Blankner,Blankner,Sherrod,,1990,1
Brett DiMambro,DiMambro,Brett,,1990,2
Leslie Fahrenkopf,Fahrenkopf,Leslie,,1990,1
Marla Grossman,Grossman,Marla,,1990,3
Jennifer Mahoney,Mahoney,Jennifer,,1990,3
Karen Salmon,Salmon,Karen,,1990,3
Diane Schwab,Schwab,Diane,,1990,2
Nina Talbot,Talbot,Nina,,1990,2
Gillian Thomas,Thomas,Gillian,,1990,1
Jamison Williams,Williams,Jamison,,1990,2
Suzanne Yelen,Yelen,Suzanne,,1990,3
Ann Curzan,Curzan,Ann,,1991,1
Trish Farmer,Farmer,Trish,,1991,1
Kathrin Linz,Linz,Kathrin,,1991,2
Kim Ondreck,Ondreck,Kim,,1991,2
Lisa Reagan,Reagan,Lisa,,1991,2
Lynn Rosenstrach,Rosenstrach,Lynn,,1991,3
Amy Altschul,Altschul,Amy,,1992,3
Laura Flynn,Flynn,Laura,,1992,3
Sari Granat,Granat,Sari,,1992,3
Adrienne Amato,Amato,Adrienne,,1993,3
Emily Bazelon,Bazelon,Emily,,1993,1
Caroline Johnston,Johnston,Caroline,,1993,3
Stephanie Lowell,Lowell,Stephanie,,1993,1
Jamie Resnick,Resnick,Jamie,,1993,1
Michele Saba,Saba,Michele,,1993,2
Kari Weiner,Weiner,Kari,,1993,3
Nina Bertsch,Bertsch,Nina,,1994,2
Audrey Delaney,Delaney,Audrey,,1994,3
Alexandra Dell,Dell,Alexandra,,1994,3
Kristina Dell,Dell,Kristina,,1994,3
Lee Ann Denley,Denley,Lee Ann,,1994,1
Allissa Hamilton,Hamilton,Allissa,,1994,1
Sandy Kim,Kim,Sandy,,1994,1
Georgia Levenson,Levenson,Georgia,,1994,3
Taryn Reitzel,Reitzel,Taryn,,1994,2
Cindy Kuragami,Kuragami,Cindy,,1995,3
Ngozi Okorafor,Okorafor,Ngozi,,1995,3
Lisa Barna,Barna,Lisa,,1996,2
