FirstLast,Criteria,FirstLast,Year,YearsPlayed,RosterLink,Hometown,HS,ClassYear,College,First,Gender,Last,MidInit,MidName,Name,RosterYear
Dudley Coates, Yale,Dudley Coates,1953,1,,,,,Yale University,Dudley,M,Coates,W.,,,
George Bass, Yale,George Bass,1953,1,,,,,Yale University,George,M,Bass,S.,,,
Henry Blodget, Yale,Henry Blodget,1953,2,,,,,Yale University,Henry,M,Blodget,,,,
Frank Maloney, Yale,Frank Maloney,1953,1,,,,,Yale University,Frank,M,Maloney,C.,3rd,,
Alexander Ewing, Yale,Alexander Ewing,1953,1,,,,,Yale University,Alexander,M,Ewing,C.,,,
Robert Dewey, Yale,Robert Dewey,1953,1,,,,,Yale University,Robert,M,Dewey,M., Jr,,
G. Barrett Rich, Yale,G. Barrett Rich,1954,1,,,,,Yale University,G. Barrett,M,Rich,,,,
David Seifer, Yale,David Seifer,1954,3,,,,,Yale University,David,M,Seifer,,,,
Barry Seymour, Yale,Barry Seymour,1954,2,,,,,Yale University,Barry,M,Seymour,T.,,,
Charles Workman, Yale,Charles Workman,1954,2,,,,,Yale University,Charles,M,Workman,E.,,,
James Mcclellan, Yale,James Mcclellan,1954,1,,,,,Yale University,James,M,Mcclellan,,,,
Jules Cohen, Yale,Jules Cohen,1955,2,,,,,Yale University,Jules,M,Cohen,A.,,,
Alan Englander, Yale,Alan Englander,1955,3,,,,,Yale University,Alan,M,Englander,S.,,,
Leslie Pollack, Yale,Leslie Pollack,1955,2,,,,,Yale University,Leslie,M,Pollack,M.,,,
Lawrence Dessner, Yale,Lawrence Dessner,1955,2,,,,,Yale University,Lawrence,M,Dessner,J.,,,
Richard Raskind, Yale,Richard Raskind,1955,3,,,,,Yale University,Richard,M,Raskind,H.,,,
William Cranston, Yale,William Cranston,1955,2,,,,,Yale University,William,M,Cranston,E.,,,
Robert Kresch, Yale,Robert Kresch,1955,1,,,,,Yale University,Robert,M,Kresch,B.,,,
Sam English, Yale,Sam English,1955,3,,,,,Yale University,Sam,M,English,O., Jr,,
Gordon Ambach, Yale,Gordon Ambach,1956,1,,,,,Yale University,Gordon,M,Ambach,M.,,,
John Williamson, Yale,John Williamson,1956,2,,,,,Yale University,John,M,Williamson,R., Jr,,
Michael Mccone, Yale,Michael Mccone,1956,1,,,,,Yale University,Michael,M,Mccone,F.,,,
Eric Moore, Yale,Eric Moore,1956,3,,,,,Yale University,Eric,M,Moore,B.,,,
Bryan Gatewood, Yale,Bryan Gatewood,1956,2,,,,,Yale University,Bryan,M,Gatewood,M.,,,
Peter Albin, Yale,Peter Albin,1956,1,,,,,Yale University,Peter,M,Albin,S.,,,
Michael Marron, Yale,Michael Marron,1956,2,,,,,Yale University,Michael,M,Marron,R.,,,
John Somerville, Yale,John Somerville,1957,1,,,,,Yale University,John,M,Somerville,W.,,,
Conrad Fisher, Yale,Conrad Fisher,1957,2,,,,,Yale University,Conrad,M,Fisher,W.,,,
Warren Cox, Yale,Warren Cox,1957,1,,,,,Yale University,Warren,M,Cox,J.,,,
John Appel, Yale,John Appel,1957,1,,,,,Yale University,John,M,Appel,,,,
J. Edward Meyer, Yale,J. Edward Meyer,1957,3,,,,,Yale University,J. Edward,M,Meyer,,,,
John Skillman, Yale,John Skillman,1957,1,,,,,Yale University,John,M,Skillman,F., Jr,,
