FirstLast,Criteria,FirstLast,Year,YearsPlayed,RosterLink,Hometown,HS,ClassYear,College,First,Gender,Last,MidInit,MidName,Name,RosterYear
Isaiah Brilhante, Cornell,Isaiah Brilhante,2017,3,https://cornellbigred.com/sports/mens-tennis/roster/isaiah-brilhante/43466,"Hilo, Hawaii",Waiakea HS,['Sophomore' 'Junior' 'Senior'],Cornell University,Isaiah,M,Brilhante,,,Isaiah Brilhante,"[""2014-15 Men's Tennis Roster"" ""2015-16 Men's Tennis Roster""
 ""2016-17 Men's Tennis Roster""]"
J. Lawrence Schnadig, Cornell,J. Lawrence Schnadig,1957,1,,"Highland Park, Ill.",Highland Park HS,['Sophomore'],Cornell University,J.,M,Schnadig,Lawrence, Lawrence,J. Lawrence Schnadig,"[""1956-57 Men's Tennis Roster""]"
Jake Gabay, Cornell,Jake Gabay,2016,1,https://cornellbigred.com/sports/mens-tennis/roster/jake-gabay/42178,"Belleair, Fla.",Laurel Springs School,['Freshman'],Cornell University,Jake,M,Gabay,,,Jake Gabay,"[""2015-16 Men's Tennis Roster""]"
Jake Hansen, Cornell,Jake Hansen,2019,2,https://cornellbigred.com/sports/mens-tennis/roster/jake-hansen/48697,"Houston, Texas",IMG Academy (Rice),['Junior' 'Senior'],Cornell University,Jake,M,Hansen,,,Jake Hansen,"[""2017-18 Men's Tennis Roster"" ""2018-19 Men's Tennis Roster""]"
James Maglisceau, Cornell,James Maglisceau,1963,1,,"N.Tonawanda, NY",N.Tonawanda HS,['Sophomore'],Cornell University,James,M,Maglisceau,A.,,James A. Maglisceau,"[""1962-63 Men's Tennis Roster""]"
James Levin, Cornell,James Levin,1966,1,,"Highland Park, Ill.",Highland Park HS,['Sophomore'],Cornell University,James,M,Levin,,,James Levin,"[""1965-66 Men's Tennis Roster""]"
James Shoffner, Cornell,James Shoffner,1954,2,,"Knoxville, Tenn.",McCallie,['Sophomore' 'Senior'],Cornell University,James,M,Shoffner,P.,,James P. Shoffner,"[""1951-52 Men's Tennis Roster"" ""1953-1954 Men's Tennis Roster""]"
James Kennedy, Cornell,James Kennedy,1950,4,,"Grosse Pointe, Mich",Grosse Pointe,['Freshman' 'Sophomore' 'Junior' 'Senior'],Cornell University,James,M,Kennedy,R.,,James R. Kennedy,"[""1946-47 Men's Tennis Roster"" ""1947-48 Men's Tennis Roster""
 ""1948-49 Men's Tennis Roster"" ""1949-50 Men's Tennis Roster""]"
Jared Karson, Cornell,Jared Karson,2013,4,https://cornellbigred.com/sports/mens-tennis/roster/jared-karson/31436,"Miami, Fla.",Ranson Everglades School,['Freshman' 'Sophomore' 'Junior' 'Senior'],Cornell University,Jared,M,Karson,,,Jared Karson,"[""2009-10 Men's Tennis Roster"" ""2010-11 Men's Tennis Roster""
 ""2011-12 Men's Tennis Roster"" ""2012-13 Men's Tennis Roster""]"
Jason Luu, Cornell,Jason Luu,2015,4,,"Fairfax, Va.",Fairfax HS,['Freshman' 'Sophomore' 'Junior' 'Senior'],Cornell University,Jason,M,Luu,,,Jason Luu,"[""2011-12 Men's Tennis Roster"" ""2012-13 Men's Tennis Roster""
 ""2013-14 Men's Tennis Roster"" ""2014-15 Men's Tennis Roster""]"
Jeremy Feldman, Cornell,Jeremy Feldman,2011,4,https://cornellbigred.com/sports/mens-tennis/roster/jeremy-feldman/13230,"Armonk, N.Y.",Byram Hills HS,['Freshman' 'Sophomore' 'Junior' 'Senior'],Cornell University,Jeremy,M,Feldman,,,Jeremy Feldman,"[""2007-08 Men's Tennis Roster"" ""2008-09 Men's Tennis Roster""
 ""2009-10 Men's Tennis Roster"" ""2010-11 Men's Tennis Roster""]"
Jerry Levin, Cornell,Jerry Levin,1963,3,,"Cincinnati, O.",Country Day,['Sophomore' 'Junior' 'Senior'],Cornell University,Jerry,M,Levin,M.,,Jerry M. Levin,"[""1960-61 Men's Tennis Roster"" ""1961-62 Men's Tennis Roster""
 ""1962-63 Men's Tennis Roster""]"
Joel Hasen, Cornell,Joel Hasen,1956,3,,"New York, NY",Fieldston,['Sophomore' 'Junior' 'Senior'],Cornell University,Joel,M,Hasen,,,Joel Hasen,"[""1953-1954 Men's Tennis Roster"" ""1954-55 Men's Tennis Roster""
 ""1955-56 Men's Tennis Roster""]"
Joel Pashcow, Cornell,Joel Pashcow,1964,3,,"Great Neck, NY",North HS,['Sophomore' 'Junior' 'Senior'],Cornell University,Joel,M,Pashcow,M.,,Joel M. Pashcow,"[""1961-62 Men's Tennis Roster"" ""1962-63 Men's Tennis Roster""
 ""1963-64 Men's Tennis Roster""]"
John Davidge, Cornell,John Davidge,1954,2,,"Binghamton, NY.",Central HS,['Sophomore' 'Junior'],Cornell University,John,M,Davidge,,,John  Davidge,"[""1952-53 Men's Tennis Roster"" ""1953-1954 Men's Tennis Roster""]"
John Nerenberg, Cornell,John Nerenberg,1966,3,,"Calverton, NY",Riverhead HS,['Sophomore' 'Junior' 'Senior'],Cornell University,John,M,Nerenberg,A.,,John A. Nerenberg,"[""1963-64 Men's Tennis Roster"" ""1964-65 Men's Tennis Roster""
 ""1965-66 Men's Tennis Roster""]"
John Keenan, Cornell,John Keenan,1951,1,,"Dayton, O.",Oakwood HS,['Senior'],Cornell University,John,M,Keenan,B.,,John B. Keenan,"[""1950-51 Men's Tennis Roster""]"
John Bock, Cornell,John Bock,1966,1,,"Houston, Texas",Kinkaid School,['Sophomore'],Cornell University,John,M,Bock,,,John Bock,"[""1965-66 Men's Tennis Roster""]"
John Riihiluoma, Cornell,John Riihiluoma,1950,4,,"Pembroke, Bermuda",Hill School,['Freshman' 'Sophomore' 'Junior' 'Senior'],Cornell University,John,M,Riihiluoma,E.,,John E. Riihiluoma,"[""1946-47 Men's Tennis Roster"" ""1947-48 Men's Tennis Roster""
 ""1948-49 Men's Tennis Roster"" ""1949-50 Men's Tennis Roster""]"
John Stockum, Cornell,John Stockum,1953,3,,"Dayton, O.",Oakwood HS,['Sophomore' 'Junior' 'Senior'],Cornell University,John,M,Stockum,E.,,John E. Stockum,"[""1950-51 Men's Tennis Roster"" ""1951-52 Men's Tennis Roster""
 ""1952-53 Men's Tennis Roster""]"
John Penn, Cornell,John Penn,1949,3,,"Forest Hills, N.Y.",NeBurney P.,['Sophomore' 'Junior' 'Senior'],Cornell University,John,M,Penn,N.,,John N. Penn,"[""1946-47 Men's Tennis Roster"" ""1947-48 Men's Tennis Roster""
 ""1948-49 Men's Tennis Roster""]"
John Palmeri, Cornell,John Palmeri,2010,1,,"New Canaan, Conn.",Greens Farms Acacdemy,['Freshman'],Cornell University,John,M,Palmeri,,,John Palmeri,"[""2009-10 Men's Tennis Roster""]"
John Galinato, Cornell,John Galinato,1966,3,,"West Point, NY",Highland Falls HS,['Sophomore' 'Junior' 'Senior'],Cornell University,John,M,Galinato,S.,,John S. Galinato,"[""1963-64 Men's Tennis Roster"" ""1964-65 Men's Tennis Roster""
 ""1965-66 Men's Tennis Roster""]"
John Schwartzman, Cornell,John Schwartzman,1965,1,,Washington DC,Friends,['Sophomore'],Cornell University,John,M,Schwartzman,,,John Schwartzman,"[""1964-65 Men's Tennis Roster""]"
John Clarkson, Cornell,John Clarkson,1953,2,,"St. Louis, Mo.",Country Day,['Sophomore' 'Junior'],Cornell University,John,M,Clarkson,T.,,John T. Clarkson,"[""1951-52 Men's Tennis Roster"" ""1952-53 Men's Tennis Roster""]"
John Smith, Cornell,John Smith,1947,1,,"Binghamton, N.Y.",Central H.,['Senior'],Cornell University,John,M,Smith,V.,,John V. Smith,"[""1946-47 Men's Tennis Roster""]"
Jon Minikes, Cornell,Jon Minikes,1959,2,,"Oceanside, NY",Oceanside HS,['Sophomore' 'Junior'],Cornell University,Jon,M,Minikes,C.,,Jon C. Minikes,"[""1957-58 Men's Tennis Roster"" ""1958-59 Men's Tennis Roster""]"
Jonathan Fife, Cornell,Jonathan Fife,2010,4,https://cornellbigred.com/sports/mens-tennis/roster/jonathan-fife/11863,"Scarsdale, N.Y.",Scarsdale HS,['Freshman' 'Sophomore' 'Junior' 'Senior'],Cornell University,Jonathan,M,Fife,,,Jonathan Fife,"[""2006-07 Men's Tennis Roster"" ""2007-08 Men's Tennis Roster""
 ""2008-09 Men's Tennis Roster"" ""2009-10 Men's Tennis Roster""]"
Jonathan Jaklitsch, Cornell,Jonathan Jaklitsch,2011,4,https://cornellbigred.com/sports/mens-tennis/roster/jonathan-jaklitsch/13232,"Islip, N.Y.",Islip HS,['Freshman' 'Sophomore' 'Junior' 'Senior'],Cornell University,Jonathan,M,Jaklitsch,,,Jonathan Jaklitsch,"[""2007-08 Men's Tennis Roster"" ""2008-09 Men's Tennis Roster""
 ""2009-10 Men's Tennis Roster"" ""2010-11 Men's Tennis Roster""]"
Jordan Dingle, Cornell,Jordan Dingle,1947,1,,"Dover, Del.",Dover H.,['Senior'],Cornell University,Jordan,M,Dingle,K.,,Jordan K. Dingle,"[""1946-47 Men's Tennis Roster""]"
Joseph Friedman, Cornell,Joseph Friedman,1965,2,,"Brooklyn, NY",Stuyvesant HS,['Sophomore' 'Senior'],Cornell University,Joseph,M,Friedman,,,Joseph Friedman,"[""1962-63 Men's Tennis Roster"" ""1964-65 Men's Tennis Roster""]"
Joseph McAllister, Cornell,Joseph McAllister,2020,4,https://cornellbigred.com/sports/mens-tennis/roster/joseph-mcallister/52660,"St. Louis, Mo.",Mary Institute and St. Louis Country Day School,['Freshman' 'Sophomore' 'Junior' 'Senior'],Cornell University,Joseph,M,McAllister,,,Joseph McAllister,"[""2016-17 Men's Tennis Roster"" ""2017-18 Men's Tennis Roster""
 ""2018-19 Men's Tennis Roster"" ""2019-20 Men's Tennis Roster""]"
Josh Raff, Cornell,Josh Raff,2007,4,,"Haverford, Pa.",Haverford School,['Freshman' 'Sophomore' 'Junior' 'Senior'],Cornell University,Josh,M,Raff,,,Josh Raff,"[""2003-04 Men's Tennis Roster"" ""2004-05 Men's Tennis Roster""
 ""2005-06 Men's Tennis Roster"" ""2006-07 Men's Tennis Roster""]"
Joshua Goldstein, Cornell,Joshua Goldstein,2009,4,https://cornellbigred.com/sports/mens-tennis/roster/joshua-goldstein/10734,"St. Louis, Mo.",Clayton HS,['Freshman' 'Sophomore' 'Junior' 'Senior'],Cornell University,Joshua,M,Goldstein,,,Joshua Goldstein,"[""2005-06 Men's Tennis Roster"" ""2006-07 Men's Tennis Roster""
 ""2007-08 Men's Tennis Roster"" ""2008-09 Men's Tennis Roster""]"
Juan Jose Rosas, Cornell,Juan Jose Rosas,2017,1,https://cornellbigred.com/sports/mens-tennis/roster/juan-jose-rosas/43882,"Lima, Peru",Liceo Naval Amirante Guise (Universidad de Piura),['Sophomore'],Cornell University,Juan,M,Rosas,Jose, Jose,Juan Jose Rosas,"[""2016-17 Men's Tennis Roster""]"
Judd Berg, Cornell,Judd Berg,2010,1,https://cornellbigred.com/sports/mens-tennis/roster/judd-berg/12049,"Cape Town, South Africa",British Int. School,['Freshman'],Cornell University,Judd,M,Berg,,,Judd Berg,"[""2009-10 Men's Tennis Roster""]"
Julian Cheng, Cornell,Julian Cheng,2003,2,https://cornellbigred.com/sports/mens-tennis/roster/julian-cheng/32208,"Hillsborough, Calif.",San Mateo HS,['Sophomore' 'Junior'],Cornell University,Julian,M,Cheng,,,Julian Cheng,"[""2001-02 Men's Tennis Roster"" ""2002-03 Men's Tennis Roster""]"
Karim Arem, Cornell,Karim Arem,2018,4,https://cornellbigred.com/sports/mens-tennis/roster/karim-arem/45224,"Houston, Texas",Awty International School,['Freshman' 'Sophomore' 'Junior' 'Senior'],Cornell University,Karim,M,Arem,,,Karim Arem,"[""2014-15 Men's Tennis Roster"" ""2015-16 Men's Tennis Roster""
 ""2016-17 Men's Tennis Roster"" ""2017-18 Men's Tennis Roster""]"
Karlo Lozic, Cornell,Karlo Lozic,2016,1,https://cornellbigred.com/sports/mens-tennis/roster/karlo-lozic/41796,"Zagreb, Croatia",Privatna Klasicna Gimnazija,['Freshman'],Cornell University,Karlo,M,Lozic,,,Karlo Lozic,"[""2015-16 Men's Tennis Roster""]"
Keith Stern, Cornell,Keith Stern,1958,1,,"Woodmere, NY",Woodmere HS,['Sophomore'],Cornell University,Keith,M,Stern,S.,,Keith S. Stern,"[""1957-58 Men's Tennis Roster""]"
Kenneth Kershbaum, Cornell,Kenneth Kershbaum,1962,2,,"Philadelphia, Pa.",Penn Charter,['Sophomore' 'Junior'],Cornell University,Kenneth,M,Kershbaum,L.,,Kenneth L. Kershbaum,"[""1960-61 Men's Tennis Roster"" ""1961-62 Men's Tennis Roster""]"
Kenneth Derr, Cornell,Kenneth Derr,1958,3,,"Penn Vallley, Pa.",Lower Merion HS,['Junior' 'Senior'],Cornell University,Kenneth,M,Derr,T.,,Kenneth T. Derr,"[""1955-56 Men's Tennis Roster"" ""1956-57 Men's Tennis Roster""
 ""1957-58 Men's Tennis Roster""]"
Kevin Jay, Cornell,Kevin Jay,2007,3,,"Auckland, New Zealand",Saint Kentigern College,['Sophomore' 'Senior'],Cornell University,Kevin,M,Jay,,,Kevin Jay,"[""2004-05 Men's Tennis Roster"" ""2005-06 Men's Tennis Roster""
 ""2006-07 Men's Tennis Roster""]"
Kevin Suffern, Cornell,Kevin Suffern,1966,1,,"Port Jervis, NY",Blair,['Sophomore'],Cornell University,Kevin,M,Suffern,,,Kevin Suffern,"[""1965-66 Men's Tennis Roster""]"
Kirk Reid, Cornell,Kirk Reid,1950,3,,"E. Cleveland, O.",Shaw HS.,['Sophomore' 'Junior' 'Senior'],Cornell University,Kirk,M,Reid,M.,,Kirk M. Reid,"[""1947-48 Men's Tennis Roster"" ""1948-49 Men's Tennis Roster""
 ""1949-50 Men's Tennis Roster""]"
Konstantin Kirovski, Cornell,Konstantin Kirovski,2020,2,https://cornellbigred.com/sports/mens-tennis/roster/konstantin-kirovski/52659,"Belgrade, Serbia",,['Freshman' 'Sophomore'],Cornell University,Konstantin,M,Kirovski,,,Konstantin Kirovski,"[""2018-19 Men's Tennis Roster"" ""2019-20 Men's Tennis Roster""]"
Kyle Berman, Cornell,Kyle Berman,2015,4,https://cornellbigred.com/sports/mens-tennis/roster/kyle-berman/39554,"Armonk, N.Y.",Byram Hills HS,['Freshman' 'Sophomore' 'Junior' 'Senior'],Cornell University,Kyle,M,Berman,,,Kyle Berman,"[""2011-12 Men's Tennis Roster"" ""2012-13 Men's Tennis Roster""
 ""2013-14 Men's Tennis Roster"" ""2014-15 Men's Tennis Roster""]"
Kyle Doppelt, Cornell,Kyle Doppelt,2009,4,https://cornellbigred.com/sports/mens-tennis/roster/kyle-doppelt/10730,"Purchase, N.Y.",Rye Country Day School,['Freshman' 'Sophomore' 'Junior' 'Senior'],Cornell University,Kyle,M,Doppelt,,,Kyle Doppelt,"[""2005-06 Men's Tennis Roster"" ""2006-07 Men's Tennis Roster""
 ""2007-08 Men's Tennis Roster"" ""2008-09 Men's Tennis Roster""]"
Lawrence Brown, Cornell,Lawrence Brown,1954,1,,"Highland Park, Ill.",Highland Park HS,['Sophomore'],Cornell University,Lawrence,M,Brown,H.,,Lawrence H. Brown,"[""1953-1954 Men's Tennis Roster""]"
Lee Saperston, Cornell,Lee Saperston,1951,1,,"Buffalo, NY.",Nichols,['Sophomore'],Cornell University,Lee,M,Saperston,R.,,Lee R. Saperston,"[""1950-51 Men's Tennis Roster""]"
Leland McCormac, Cornell,Leland McCormac,1952,1,,"Syracuse, NY.",Peddie,['Sophomore'],Cornell University,Leland,M,McCormac,D,,Leland D McCormac,"[""1951-52 Men's Tennis Roster""]"
Leonard Steiner, Cornell,Leonard Steiner,1950,4,,"Brooklyn, NY.",Brooklyn Tech.,['Freshman' 'Sophomore' 'Junior' 'Senior'],Cornell University,Leonard,M,Steiner,L.,,Leonard L. Steiner,"[""1946-47 Men's Tennis Roster"" ""1947-48 Men's Tennis Roster""
 ""1948-49 Men's Tennis Roster"" ""1949-50 Men's Tennis Roster""]"
Lev Kazakov, Cornell,Lev Kazakov,2020,4,https://cornellbigred.com/sports/mens-tennis/roster/lev-kazakov/52658,"Moscow, Russia",,['Freshman' 'Sophomore' 'Junior' 'Senior'],Cornell University,Lev,M,Kazakov,,,Lev Kazakov,"[""2016-17 Men's Tennis Roster"" ""2017-18 Men's Tennis Roster""
 ""2018-19 Men's Tennis Roster"" ""2019-20 Men's Tennis Roster""]"
Lewis Gaty, Cornell,Lewis Gaty,1953,2,,"Merion, Pa.",Lower Merion HS,['Sophomore' 'Junior'],Cornell University,Lewis,M,Gaty,R.,,Lewis R. Gaty,"[""1951-52 Men's Tennis Roster"" ""1952-53 Men's Tennis Roster""]"
Marc Asch, Cornell,Marc Asch,2009,4,,"North Reading, Mass.",Philips Academy,['Freshman' 'Sophomore' 'Junior' 'Senior'],Cornell University,Marc,M,Asch,,,Marc Asch,"[""2005-06 Men's Tennis Roster"" ""2006-07 Men's Tennis Roster""
 ""2007-08 Men's Tennis Roster"" ""2008-09 Men's Tennis Roster""]"
Mark Green, Cornell,Mark Green,1966,2,,"Great Neck, NY",Great Neck HS,['Sophomore' 'Junior'],Cornell University,Mark,M,Green,,,Mark Green,"[""1964-65 Men's Tennis Roster"" ""1965-66 Men's Tennis Roster""]"
Mark Witkin, Cornell,Mark Witkin,1959,1,,"Latrobe, Pa.",Latrobe HS,['Sophomore'],Cornell University,Mark,M,Witkin,J.,,Mark J. Witkin,"[""1958-59 Men's Tennis Roster""]"
Mark Taylor, Cornell,Mark Taylor,1966,1,,Washington DC,Wilson HS,['Sophomore'],Cornell University,Mark,M,Taylor,,,Mark Taylor,"[""1965-66 Men's Tennis Roster""]"
Matt Cherner-Ranft, Cornell,Matt Cherner-Ranft,2005,4,https://cornellbigred.com/sports/mens-tennis/roster/matt-cherner-ranft/32238,"Newtown Square, Pa.",Haverford School,['Freshman' 'Sophomore' 'Junior' 'Senior'],Cornell University,Matt,M,Cherner-Ranft,,,Matt Cherner-Ranft,"[""2001-02 Men's Tennis Roster"" ""2002-03 Men's Tennis Roster""
 ""2003-04 Men's Tennis Roster"" ""2004-05 Men's Tennis Roster""]"
Matthew Druyanoff, Cornell,Matthew Druyanoff,2020,1,https://cornellbigred.com/sports/mens-tennis/roster/matthew-druyanoff/52669,"Los Angeles, Calif.",Harvard-Westlake HS,['Freshman'],Cornell University,Matthew,M,Druyanoff,,,Matthew Druyanoff,"[""2019-20 Men's Tennis Roster""]"
Maverick Lin, Cornell,Maverick Lin,2017,2,https://cornellbigred.com/sports/mens-tennis/roster/maverick-lin/43471,"Highland Park, N.J.",Highland Park HS,['Freshman' 'Sophomore'],Cornell University,Maverick,M,Lin,,,Maverick Lin,"[""2015-16 Men's Tennis Roster"" ""2016-17 Men's Tennis Roster""]"
Max Haskin, Cornell,Max Haskin,2011,1,https://cornellbigred.com/sports/mens-tennis/roster/max-haskin/14092,"New York, N.Y.",Columbia Grammar and Preparatory School,['Freshman'],Cornell University,Max,M,Haskin,,,Max Haskin,"[""2010-11 Men's Tennis Roster""]"
Michael Bank, Cornell,Michael Bank,1965,1,,"New Rochelle, NY",New Rochelle HS,['Sophomore'],Cornell University,Michael,M,Bank,,,Michael Bank,"[""1964-65 Men's Tennis Roster""]"
Michael Brill, Cornell,Michael Brill,1965,1,,"Hewlett, NY",Hewlett HS,['Sophomore'],Cornell University,Michael,M,Brill,,,Michael Brill,"[""1964-65 Men's Tennis Roster""]"
Michael Schlappig, Cornell,Michael Schlappig,2004,3,https://cornellbigred.com/sports/mens-tennis/roster/michael-schlappig/32226,"Tampa, Fla.",Saddlebrook Prep,['Sophomore' 'Junior' 'Senior'],Cornell University,Michael,M,Schlappig,,,Michael Schlappig,"[""2001-02 Men's Tennis Roster"" ""2002-03 Men's Tennis Roster""
 ""2003-04 Men's Tennis Roster""]"
Mike Delany, Cornell,Mike Delany,2005,1,https://cornellbigred.com/sports/mens-tennis/roster/mike-delany/32243,"Milton, Mass.",Milton Academy,['Senior'],Cornell University,Mike,M,Delany,,,Mike Delany,"[""2004-05 Men's Tennis Roster""]"
Mike Laycob, Cornell,Mike Laycob,2003,1,https://cornellbigred.com/sports/mens-tennis/roster/mike-laycob/32216,"St. Louis, Mo.",John Burroughs School,['Senior'],Cornell University,Mike,M,Laycob,,,Mike Laycob,"[""2002-03 Men's Tennis Roster""]"
Mirza Klis, Cornell,Mirza Klis,2011,4,https://cornellbigred.com/sports/mens-tennis/roster/mirza-klis/13234,Bosnia,Sacred Heart Prep,['Freshman' 'Sophomore' 'Junior' 'Senior'],Cornell University,Mirza,M,Klis,,,Mirza Klis,"[""2007-08 Men's Tennis Roster"" ""2008-09 Men's Tennis Roster""
 ""2009-10 Men's Tennis Roster"" ""2010-11 Men's Tennis Roster""]"
Mujteba Haidri, Cornell,Mujteba Haidri,2002,1,https://cornellbigred.com/sports/mens-tennis/roster/mujteba-haidri/32493,"Edison, N.J.",JP Stevens HS,['Freshman'],Cornell University,Mujteba,M,Haidri,,,Mujteba Haidri,"[""2001-02 Men's Tennis Roster""]"
Nelson Joyner, Cornell,Nelson Joyner,1958,2,,"Anchorage, Ky.",Eastern HS,['Sophomore' 'Junior'],Cornell University,Nelson,M,Joyner,T.,,Nelson T. Joyner,"[""1956-57 Men's Tennis Roster"" ""1957-58 Men's Tennis Roster""]"
Nick Brunner, Cornell,Nick Brunner,2007,4,,"Sacramento, Calif.",Jesuit HS,['Freshman' 'Sophomore' 'Junior' 'Senior'],Cornell University,Nick,M,Brunner,,,Nick Brunner,"[""2003-04 Men's Tennis Roster"" ""2004-05 Men's Tennis Roster""
 ""2005-06 Men's Tennis Roster"" ""2006-07 Men's Tennis Roster""]"
P. Kay Champion, Cornell,P. Kay Champion,1960,3,,"Dayton, O.",Lawrenceville,['Sophomore' 'Junior' 'Senior'],Cornell University,P.,M,Champion,Kay, Kay,P. Kay Champion,"[""1957-58 Men's Tennis Roster"" ""1958-59 Men's Tennis Roster""
 ""1959-60 Men's Tennis Roster""]"
Patrick Fiaux, Cornell,Patrick Fiaux,2015,4,https://cornellbigred.com/sports/mens-tennis/roster/patrick-fiaux/39557,"Herrliberg, Switzerland",K+S Gymnasium Rämibühl,['Freshman' 'Sophomore' 'Junior' 'Senior'],Cornell University,Patrick,M,Fiaux,,,Patrick Fiaux,"[""2011-12 Men's Tennis Roster"" ""2012-13 Men's Tennis Roster""
 ""2013-14 Men's Tennis Roster"" ""2014-15 Men's Tennis Roster""]"
Paul Bomze, Cornell,Paul Bomze,1953,1,,"Philadelphia, Pa.",Central HS,['Senior'],Cornell University,Paul,M,Bomze,E.,,Paul E. Bomze,"[""1952-53 Men's Tennis Roster""]"
Paul Lansaw, Cornell,Paul Lansaw,1948,2,,"Middletown, Ohio",Middletown H.,['Freshman' 'Sophomore'],Cornell University,Paul,M,Lansaw,,,Paul Lansaw,"[""1946-47 Men's Tennis Roster"" ""1947-48 Men's Tennis Roster""]"
Paul Fein, Cornell,Paul Fein,1964,1,,"Longmeadow, Mass.",Williston,['Sophomore'],Cornell University,Paul,M,Fein,S.,,Paul S. Fein,"[""1963-64 Men's Tennis Roster""]"
Perry Fisher, Cornell,Perry Fisher,1961,2,,"Westfield, NJ",Westfield HS,['Junior' 'Senior'],Cornell University,Perry,M,Fisher,W.,,Perry W. Fisher,"[""1959-60 Men's Tennis Roster"" ""1960-61 Men's Tennis Roster""]"
Peter Marx, Cornell,Peter Marx,1964,1,,"Woodmere, NY",Hewlett,['Senior'],Cornell University,Peter,M,Marx,A.,,Peter A. Marx,"[""1963-64 Men's Tennis Roster""]"
Peter Aydellott, Cornell,Peter Aydellott,1958,1,,"Waverly, Pa.",Hill,['Sophomore'],Cornell University,Peter,M,Aydellott,C.,,Peter C. Aydellott,"[""1957-58 Men's Tennis Roster""]"
Peter Gold, Cornell,Peter Gold,1966,1,,"New York, NY",Hewlett HS,['Junior'],Cornell University,Peter,M,Gold,,,Peter Gold,"[""1965-66 Men's Tennis Roster""]"
Peter Moeller, Cornell,Peter Moeller,1961,3,,"Pittsfield, Mass.",Pittsfield HS,['Sophomore' 'Junior' 'Senior'],Cornell University,Peter,M,Moeller,H.,,Peter H. Moeller,"[""1958-59 Men's Tennis Roster"" ""1959-60 Men's Tennis Roster""
 ""1960-61 Men's Tennis Roster""]"
Peter Kortman, Cornell,Peter Kortman,1964,3,,"Wilmington, Del.",McDonogh,['Sophomore' 'Junior' 'Senior'],Cornell University,Peter,M,Kortman,J.,,Peter J. Kortman,"[""1961-62 Men's Tennis Roster"" ""1962-63 Men's Tennis Roster""
 ""1963-64 Men's Tennis Roster""]"
Peter Kung, Cornell,Peter Kung,2009,4,https://cornellbigred.com/sports/mens-tennis/roster/peter-kung/10737,"Bellevue, Wash.",Lakeside School,['Freshman' 'Sophomore' 'Junior' 'Senior'],Cornell University,Peter,M,Kung,,,Peter Kung,"[""2005-06 Men's Tennis Roster"" ""2006-07 Men's Tennis Roster""
 ""2007-08 Men's Tennis Roster"" ""2008-09 Men's Tennis Roster""]"
Peter Nawara, Cornell,Peter Nawara,2011,2,https://cornellbigred.com/sports/mens-tennis/roster/peter-nawara/13235,"Krakow, Poland",,['Freshman' 'Sophomore'],Cornell University,Peter,M,Nawara,,,Peter Nawara,"[""2009-10 Men's Tennis Roster"" ""2010-11 Men's Tennis Roster""]"
Pietro Rimondini, Cornell,Pietro Rimondini,2020,4,https://cornellbigred.com/sports/mens-tennis/roster/pietro-rimondini/52661,"Boca Raton, Fla.",Boca Prep International School,['Freshman' 'Sophomore' 'Junior' 'Senior'],Cornell University,Pietro,M,Rimondini,,,Pietro Rimondini,"[""2016-17 Men's Tennis Roster"" ""2017-18 Men's Tennis Roster""
 ""2018-19 Men's Tennis Roster"" ""2019-20 Men's Tennis Roster""]"
Quoc-Daniel Nguyen, Cornell,Quoc-Daniel Nguyen,2015,4,https://cornellbigred.com/sports/mens-tennis/roster/quoc-daniel-nguyen/39560,"Vienna, Va.",George C. Marshall HS,['Freshman' 'Sophomore' 'Junior' 'Senior'],Cornell University,Quoc-Daniel,M,Nguyen,,,Quoc-Daniel Nguyen,"[""2011-12 Men's Tennis Roster"" ""2012-13 Men's Tennis Roster""
 ""2013-14 Men's Tennis Roster"" ""2014-15 Men's Tennis Roster""]"
Ray Wu, Cornell,Ray Wu,2006,4,https://cornellbigred.com/sports/mens-tennis/roster/ray-wu/32255,"Ann Arbor, Mich.",Ann Arbor Huron HS,['Freshman' 'Sophomore' 'Junior' 'Senior'],Cornell University,Ray,M,Wu,,,Ray Wu,"[""2002-03 Men's Tennis Roster"" ""2003-04 Men's Tennis Roster""
 ""2004-05 Men's Tennis Roster"" ""2005-06 Men's Tennis Roster""]"
Raymond Howes, Cornell,Raymond Howes,1953,1,,Washington DC,Ithaca HS,['Sophomore'],Cornell University,Raymond,M,Howes,T.,,Raymond T. Howes,"[""1952-53 Men's Tennis Roster""]"
Reginald Rice, Cornell,Reginald Rice,1951,1,,"Wilmette, Ill.",New Trier HS,['Senior'],Cornell University,Reginald,M,Rice,W.,,Reginald W. Rice,"[""1950-51 Men's Tennis Roster""]"
Richard Ball, Cornell,Richard Ball,1959,3,,"East Aurora, N.Y.",East Aurora HS,['Junior' 'Senior'],Cornell University,Richard,M,Ball,A.,,Richard A. Ball,"[""1956-57 Men's Tennis Roster"" ""1957-58 Men's Tennis Roster""
 ""1958-59 Men's Tennis Roster""]"
Richard Gnaedinger, Cornell,Richard Gnaedinger,1947,1,,"Oak Park, Ill.",Oak Park H.,['Freshman'],Cornell University,Richard,M,Gnaedinger,C.,,Richard C. Gnaedinger,"[""1946-47 Men's Tennis Roster""]"
Richard Tatlow, Cornell,Richard Tatlow,1959,1,,"Scarsdale, NY",Deerfield,['Sophomore'],Cornell University,Richard,M,Tatlow,H.,,Richard H. Tatlow,"[""1958-59 Men's Tennis Roster""]"
