Field4,Field7_Text,Field7_Link,Field1,Field8,Field9,Field11,Field2_Text,Field3_Text
,,,Junior,"Palo Alto, Calif.",Gunn HS,2004-05 Women's Tennis Roster,,Liying Wang
,,,Sophomore,"Hadley, Mass.",Amherst Regional HS,2003-04 Women's Tennis Roster,,Mollie Edinson
,,,Junior,"Battle Creek, Mich.",Lakeview HS,2003-04 Women's Tennis Roster,,Akane Kokubo
,,,Sophomore,"Bridgewater, N.J.",Bridgewater-Raritan HS,2003-04 Women's Tennis Roster,,Jennifer Liu
,,,Sophomore,"Cotuit, Mass.",Barnstable HS,2003-04 Women's Tennis Roster,,Kara Maloy
,,,Freshman,"Boston, Mass.",Boston Latin School,2003-04 Women's Tennis Roster,,Kasia Preneta
,,,Freshman,"Kinnelon, N.J.",Newark Academy,2003-04 Women's Tennis Roster,,Nisha Suda
,,,Junior,"Redwood, Wash.",Lakeside HS,2003-04 Women's Tennis Roster,,Erika Takeuchi
,,,Senior,"Key Colony Beach, Fla.",Marathon HS,2003-04 Women's Tennis Roster,,Laura Leigh Tallent
,,,Junior,"Greenvale, N.Y.",Roslyn HS,2003-04 Women's Tennis Roster,,Melissa Tu
,,,Freshman,"Greenvale, N.Y.",Roslyn HS,2003-04 Women's Tennis Roster,,Melanie Tu
,,,Sophomore,"Palo Alto, Calif.",Gunn HS,2003-04 Women's Tennis Roster,,Liying Wang
,,,Senior,"Edmonton, Alb.",Harry Ainlay HS,2002-03 Women's Tennis Roster,,Nicole Chiu
,,,Freshman,"Hadley, Mass.",Amherst Regional HS,2002-03 Women's Tennis Roster,,Mollie Edinson
,,,Sophomore,"Battle Creek, Mich.",Lakeview HS,2002-03 Women's Tennis Roster,,Akane Kokubo
,,,Freshman,"Bridgewater, N.J.",Bridgewater-Raritan HS,2002-03 Women's Tennis Roster,,Jennifer Liu
,,,Senior,"Atlanta, GA.",Westminster,2002-03 Women's Tennis Roster,,Piper Lucas
,,,Freshman,"Cotuit, Mass.",Barnstable HS,2002-03 Women's Tennis Roster,,Kara Maloy
,,,Junior,"Glen Coe, Ill.",New Trier HS,2002-03 Women's Tennis Roster,,Kate Sternberg
,,,Sophomore,"Redwood, Wash.",Lakeside HS,2002-03 Women's Tennis Roster,,Erika Takeuchi
,,,Junior,"Key Colony Beach, Fla.",Marathon HS,2002-03 Women's Tennis Roster,,Laura Leigh Tallent
,,,Sophomore,"Greenvale, N.Y.",Roslyn HS,2002-03 Women's Tennis Roster,,Melissa Tu
,,,Freshman,"Palo Alto, Calif.",Gunn HS,2002-03 Women's Tennis Roster,,Liying Wang
,,,Freshman,"Melville, N.Y.",Half Hollow Hills HS East,2001-02 Women's Tennis Roster,,Jaymie Brill
,,,Junior,"Edmonton, Alb.",Harry Ainlay HS,2001-02 Women's Tennis Roster,,Nicole Chiu
,,,Junior,"Rye, N.Y.",Horace Mann HS,2001-02 Women's Tennis Roster,,Alex DelPrete
,,,Junior,"Rye, N.Y.",Horace Mann HS,2001-02 Women's Tennis Roster,,Daniela DelPrete
,,,Freshman,"Forest Hills, N.Y.",Benjamin N. Cardozo,2001-02 Women's Tennis Roster,,Nicole Itskovich
,,,Junior,"Nairobi, Kenya",Int. School of Kenya,2001-02 Women's Tennis Roster,,Saloni Kantaria
,,,Freshman,"Battle Creek, Mich.",Lakeview HS,2001-02 Women's Tennis Roster,,Akane Kokubo
,,,Junior,"Atlanta, GA.",Westminster,2001-02 Women's Tennis Roster,,Piper Lucas
,,,Senior,"Rio de Janiero, Brazil",Centro Ed. Lagoa,2001-02 Women's Tennis Roster,,Camila Romulo
,,,Sophomore,"Glen Coe, Ill.",New Trier HS,2001-02 Women's Tennis Roster,,Kate Sternberg
,,,Freshman,"Redwood, Wash.",Lakeside HS,2001-02 Women's Tennis Roster,,Erika Takeuchi
,,,Sophomore,"Key Colony Beach, Fla.",Marathon HS,2001-02 Women's Tennis Roster,,Laura Leigh Tallent
,,,Freshman,"Greenvale, N.Y.",Roslyn HS,2001-02 Women's Tennis Roster,,Melissa Tu
,,,Junior,"Auckland, New Zealand",St.Cuthbert's College,2001-02 Women's Tennis Roster,,Suzanne Wright
,,,Senior,"Augusta, Ga.",Westside HS,2000-01 Women's Tennis Roster,,Ngozi Amobi
,,,Graduate Student,"New Canaan, Conn.",New Canaan HS,2000-01 Women's Tennis Roster,,Jenn Boyer
,,,Sophomore,"Edmonton, Alb.",Harry Ainlay HS,2000-01 Women's Tennis Roster,,Nicole Chiu
,,,Sophomore,"Rye, N.Y.",Horace Mann HS,2000-01 Women's Tennis Roster,,Alex DelPrete
,,,Sophomore,"Rye, N.Y.",Horace Mann HS,2000-01 Women's Tennis Roster,,Daniela DelPrete
,,,Sophomore,"Nairobi, Kenya",Int. School of Kenya,2000-01 Women's Tennis Roster,,Saloni Kantaria
,,,Sophomore,"Atlanta, GA.",Westminster,2000-01 Women's Tennis Roster,,Piper Lucas
,,,Junior,"Rio de Janiero, Brazil",Centro Ed. Lagoa,2000-01 Women's Tennis Roster,,Camila Romulo
,,,Sophomore,"Rye, N.Y.",Horace Mann HS,2000-01 Women's Tennis Roster,,Lisa Royce
,,,Junior,"Cherry Hill, N.J.",Cherry Hill HS,2000-01 Women's Tennis Roster,,Becky Sendrow
,,,Freshman,"Glen Coe, Ill.",New Trier HS,2000-01 Women's Tennis Roster,,Kate Sternberg
,,,Freshman,"Key Colony Beach, Fla.",Marathon HS,2000-01 Women's Tennis Roster,,Laura Leigh Tallent
,,,Sophomore,"Auckland, New Zealand",St.Cuthbert's College,2000-01 Women's Tennis Roster,,Suzanne Wright
,,,Junior,"Augusta, Ga.",Westside HS,1999-2000 Women's Tennis Roster,,Ngozi Amobi
,,,Senior,"New Canaan, Conn.",New Canaan HS,1999-2000 Women's Tennis Roster,,Jenn Boyer
,,,Freshman,"Edmonton, Alb.",Harry Ainlay HS,1999-2000 Women's Tennis Roster,,Nicole Chiu
,,,Freshman,"Rye, N.Y.",Horace Mann HS,1999-2000 Women's Tennis Roster,,Alex DelPrete
,,,Freshman,"Rye, N.Y.",Horace Mann HS,1999-2000 Women's Tennis Roster,,Daniela DelPrete
,,,Senior,"Tucson, Ariz.",Green Fields CDS,1999-2000 Women's Tennis Roster,,Jodie Hurley
,,,Freshman,"Atlanta, GA.",Westminster,1999-2000 Women's Tennis Roster,,Piper Lucas
,,,Sophomore,"Palos Verdes, Calif.",Palos verdes Peninsula HS,1999-2000 Women's Tennis Roster,,Hanna Miller
,,,Sophomore,"Newport Beach, Calif.",Dana Hills HS,1999-2000 Women's Tennis Roster,,Margaux Pierog
,,,Freshman,"Rye, N.Y.",Horace Mann HS,1999-2000 Women's Tennis Roster,,Lisa Royce
,,,Sophomore,"Cherry Hill, N.J.",Cherry Hill HS,1999-2000 Women's Tennis Roster,,Becky Sendrow
,,,Freshman,"Rochester, N.Y.",Rush-Henrietta HS,1999-2000 Women's Tennis Roster,,Joanna Toke
,,,Freshman,"Auckland, New Zealand",St.Cuthbert's College,1999-2000 Women's Tennis Roster,,Suzanne Wright
,,,Sophomore,"Holmdel, N.J.",Holmdel HS,1999-2000 Women's Tennis Roster,,Carolyn Zakrevsky
,,,Sophomore,"Augusta, Ga.",Westside HS,1998-99 Women's Tennis Roster,,Ngozi Amobi
,,,Junior,"New Canaan, Conn.",New Canaan HS,1998-99 Women's Tennis Roster,,Jenn Boyer
,,,Senior,"Rolling Hills, Calif.",Chadwick School,1998-99 Women's Tennis Roster,,Rebecca Cannom
,,,Senior,"Brooklyn, N.Y.",Midwood HS,1998-99 Women's Tennis Roster,,Michelle Degen
,,,Junior,"Tucson, Ariz.",Green Fields CDS,1998-99 Women's Tennis Roster,,Jodie Hurley
,,,Freshman,"Palos Verdes, Calif.",Palos verdes Peninsula HS,1998-99 Women's Tennis Roster,,Hanna Miller
,,,Freshman,"Newport Beach, Calif.",Dana Hills HS,1998-99 Women's Tennis Roster,,Margaux Pierog
,,,Graduate Student,"Reno, Nevada",Reno HS,1998-99 Women's Tennis Roster,,Leah Pomeranz
,,,Junior,"Manchester, Mass.",Manchester HS,1998-99 Women's Tennis Roster,,Sara Purdy
,,,Freshman,"Cherry Hill, N.J.",Cherry Hill HS,1998-99 Women's Tennis Roster,,Becky Sendrow
,,,Freshman,"Bayville, N.Y.",Locust Valley HS,1998-99 Women's Tennis Roster,,Natalie Stanciu
,,,Freshman,"Holmdel, N.J.",Holmdel HS,1998-99 Women's Tennis Roster,,Carolyn Zakrevsky
,,,Freshman,"Augusta, Ga.",Westside HS,1997-98 Women's Tennis Roster,,Ngozi Amobi
,,,Sophomore,"New Canaan, Conn.",New Canaan HS,1997-98 Women's Tennis Roster,,Jenn Boyer
,,,Junior,"Rolling Hills, Calif.",Chadwick School,1997-98 Women's Tennis Roster,,Rebecca Cannom
,,,Junior,"Brooklyn, N.Y.",Midwood HS,1997-98 Women's Tennis Roster,,Michelle Degen
,,,Sophomore,"Tucson, Ariz.",Green Fields CDS,1997-98 Women's Tennis Roster,,Jodie Hurley
,,,Senior,"Manlius, N.Y.",New Canaan HS (Conn.),1997-98 Women's Tennis Roster,,Kelly Molloy
,,,Freshman,"St. Charles, Ill.",St. Charles HS,1997-98 Women's Tennis Roster,,Colleen Molloy
,,,Senior,"Reno, Nevada",Reno HS,1997-98 Women's Tennis Roster,,Leah Pomeranz
,,,Sophomore,"Manchester, Mass.",Manchester HS,1997-98 Women's Tennis Roster,,Sara Purdy
,,,Senior,"Scarsdale, N.Y.",Scarsdale HS,1997-98 Women's Tennis Roster,,Pamela Romas
,,,Senior,"E. Lansing, Mich.",E. Lansing HS,1997-98 Women's Tennis Roster,,Mari Rutz
,,,Freshman,"Shanghai, China",Robert Louis Stevenson HS (Calif.),1997-98 Women's Tennis Roster,,Vivian Sam
,,,Junior,"Los Altos Hills, Calif.",Gunn HS,1997-98 Women's Tennis Roster,,Kathryn Scifres
,,,Sophomore,"Augusta, Ga.",Westside HS,1996-97 Women's Tennis Roster,,Ify Amobi
,,,Senior,"East Grand Rapids, Mich.",E. Grand Rapids HS,1996-97 Women's Tennis Roster,,Monica Bertsch
,,,Sophomore,"Kalamazoo, Mich.",Hackett Catholic HS,1996-97 Women's Tennis Roster,,Meg Boston
,,,Freshman,"New Canaan, Conn.",New Canaan HS,1996-97 Women's Tennis Roster,,Jenn Boyer
,,,Senior,"Saratoga Springs, N.Y.",Saratoga Springs HS,1996-97 Women's Tennis Roster,,Elizabeth Byrne
,,,Sophomore,"Rolling Hills, Calif.",Chadwick School,1996-97 Women's Tennis Roster,,Rebecca Cannom
,,,Sophomore,"Brooklyn, N.Y.",Midwood HS,1996-97 Women's Tennis Roster,,Michelle Degen
,,,Freshman,"Tucson, Ariz.",Green Fields CDS,1996-97 Women's Tennis Roster,,Jodie Hurley
,,,Junior,"Manlius, N.Y.",New Canaan HS (Conn.),1996-97 Women's Tennis Roster,,Kelly Molloy
,,,Junior,"Reno, Nevada",Reno HS,1996-97 Women's Tennis Roster,,Leah Pomeranz
,,,Freshman,"Manchester, Mass.",Manchester HS,1996-97 Women's Tennis Roster,,Sara Purdy
,,,Junior,"Scarsdale, N.Y.",Scarsdale HS,1996-97 Women's Tennis Roster,,Pamela Romas
,,,Junior,"E. Lansing, Mich.",E. Lansing HS,1996-97 Women's Tennis Roster,,Mari Rutz
,,,Sophomore,"Los Altos Hills, Calif.",Gunn HS,1996-97 Women's Tennis Roster,,Kathryn Scifres
,,,Freshman,"Augusta, Ga.",Westside HS,1995-96 Women's Tennis Roster,,Ify Amobi
,,,Junior,"East Grand Rapids, Mich.",E. Grand Rapids HS,1995-96 Women's Tennis Roster,,Monica Bertsch
,,,Freshman,"Kalamazoo, Mich.",Hackett Catholic HS,1995-96 Women's Tennis Roster,,Meg Boston
,,,Junior,"Saratoga Springs, N.Y.",Saratoga Springs HS,1995-96 Women's Tennis Roster,,Elizabeth Byrne
,,,Freshman,"Rolling Hills, Calif.",Chadwick School,1995-96 Women's Tennis Roster,,Rebecca Cannom
,,,Freshman,"Brooklyn, N.Y.",Midwood HS,1995-96 Women's Tennis Roster,,Michelle Degen
,,,Senior,"Kowloon, Hong Kong",King George V School,1995-96 Women's Tennis Roster,,Charmaine Ing
,,,Graduate Student,"Moscow, Russia",Moscow Secondary School,1995-96 Women's Tennis Roster,,Olga Itskhoki
,,,Sophomore,"Manlius, N.Y.",New Canaan HS (Conn.),1995-96 Women's Tennis Roster,,Kelly Molloy
,,,Sophomore,"Honolulu, Hawaii",Honolulu HS,1995-96 Women's Tennis Roster,,Lee Murashige
,,,Senior,"Staten Island, N.Y.",New Dorp HS,1995-96 Women's Tennis Roster,,Jigisha Pathakji
,,,Sophomore,"Reno, Nevada",Reno HS,1995-96 Women's Tennis Roster,,Leah Pomeranz
,,,Senior,"Merced, Calif.",Merced HS,1995-96 Women's Tennis Roster,,Heather Quall
,,,Sophomore,"Scarsdale, N.Y.",Scarsdale HS,1995-96 Women's Tennis Roster,,Pamela Romas
,,,Sophomore,"E. Lansing, Mich.",E. Lansing HS,1995-96 Women's Tennis Roster,,Mari Rutz
,,,Freshman,"Los Altos Hills, Calif.",Gunn HS,1995-96 Women's Tennis Roster,,Kathryn Scifres
,,,Freshman,"Clewiston, Fla.",Clewiston HS,1994-95 Women's Tennis Roster,,Cristina Aguirre
,,,Sophomore,"East Grand Rapids, Mich.",E. Grand Rapids HS,1994-95 Women's Tennis Roster,,Monica Bertsch
,,,Sophomore,"Saratoga Springs, N.Y.",Saratoga Springs HS,1994-95 Women's Tennis Roster,,Elizabeth Byrne
,,,Freshman,"Harrisburg, Pa.",Bromfield School (Mass.),1994-95 Women's Tennis Roster,,Kim  Gantz
,,,Junior,"Kowloon, Hong Kong",King George V School,1994-95 Women's Tennis Roster,,Charmaine Ing
,,,Senior,"Moscow, Russia",Moscow Secondary School,1994-95 Women's Tennis Roster,,Olga Itskhoki
,,,Freshman,"Manlius, N.Y.",New Canaan HS (Conn.),1994-95 Women's Tennis Roster,,Kelly Molloy
,,,Freshman,"Honolulu, Hawaii",Honolulu HS,1994-95 Women's Tennis Roster,,Lee Murashige
,,,Junior,"Staten Island, N.Y.",New Dorp HS,1994-95 Women's Tennis Roster,,Jigisha Pathakji
,,,Freshman,"Reno, Nevada",Reno HS,1994-95 Women's Tennis Roster,,Leah Pomeranz
,,,Junior,"Merced, Calif.",Merced HS,1994-95 Women's Tennis Roster,,Heather Quall
,,,Freshman,"Scarsdale, N.Y.",Scarsdale HS,1994-95 Women's Tennis Roster,,Pamela Romas
,,,Freshman,"E. Lansing, Mich.",E. Lansing HS,1994-95 Women's Tennis Roster,,Mari Rutz
,,,Sophomore,"Ithaca, N.Y.",Ithaca HS,1994-95 Women's Tennis Roster,,Jessika Trancik
,,,Sophomore,"Bethlehem, Pa.",Southern Lehigh HS,1994-95 Women's Tennis Roster,,Christie Trotter
,,,Senior,"Vienna, Va.",Madison HS,1994-95 Women's Tennis Roster,,Jeannie Yoo
,,,Freshman,"East Grand Rapids, Mich.",E. Grand Rapids HS,1993-94 Women's Tennis Roster,,Monica Bertsch
,,,Junior,"Missoula, Mont.",Hellgate HS,1993-94 Women's Tennis Roster,,Hallie Bornstein
,,,Freshman,"Saratoga Springs, N.Y.",Saratoga Springs HS,1993-94 Women's Tennis Roster,,Elizabeth Byrne
,,,Senior,"Kissimee, Fla.",Osceola HS,1993-94 Women's Tennis Roster,,Wan Chen
,,,Sophomore,"Kowloon, Hong Kong",King George V School,1993-94 Women's Tennis Roster,,Charmaine Ing
,,,Junior,"Moscow, Russia",Moscow Secondary School,1993-94 Women's Tennis Roster,,Olga Itskhoki
,,,Freshman,"Larchmont, N.Y.",Mamaroneck HS,1993-94 Women's Tennis Roster,,Julie Kotler
,,,Sophomore,"Staten Island, N.Y.",New Dorp HS,1993-94 Women's Tennis Roster,,Jigisha Pathakji
,,,Sophomore,"Merced, Calif.",Merced HS,1993-94 Women's Tennis Roster,,Heather Quall
,,,Freshman,"Ft. Mitchell, Ky.",Beechwood HS,1993-94 Women's Tennis Roster,,Angie Richardson
,,,Sophomore,"Bellport, N.Y.",Bellport HS,1993-94 Women's Tennis Roster,,Barbara Ruhs
,,,Junior,"Lubbock, Texas",Lubbock Coronado HS,1993-94 Women's Tennis Roster,,Nicole Smith
,,,Freshman,"Ithaca, N.Y.",Ithaca HS,1993-94 Women's Tennis Roster,,Jessika Trancik
,,,Freshman,"Bethlehem, Pa.",Southern Lehigh HS,1993-94 Women's Tennis Roster,,Christie Trotter
,,,Junior,"Vienna, Va.",Madison HS,1993-94 Women's Tennis Roster,,Jeannie Yoo
,,,Senior,"Lakewood, Ohio",Lakewood HS,1992-93 Women's Tennis Roster,,Judy Beckenbach
,,,Sophomore,"Cleveland, Ohio",Lakewood HS,1992-93 Women's Tennis Roster,,Halle Beckenbach
,,,Junior,"Kissimee, Fla.",Osceola HS,1992-93 Women's Tennis Roster,,Wan Chen
,,,Sophomore,"Longmeadow, Ill.",New Trier HS,1992-93 Women's Tennis Roster,,Greer Gilson
,,,Freshman,"Kowloon, Hong Kong",King George V School,1992-93 Women's Tennis Roster,,Charmaine Ing
,,,Senior,"Albany, N.Y.",Albany HS,1992-93 Women's Tennis Roster,,Alyssa Kahn
,,,Freshman,"Staten Island, N.Y.",New Dorp HS,1992-93 Women's Tennis Roster,,Jigisha Pathakji
,,,Freshman,"Merced, Calif.",Merced HS,1992-93 Women's Tennis Roster,,Heather Quall
,,,Freshman,"Nairobi, Kenya",Nairobi Academy,1992-93 Women's Tennis Roster,,Paulina Raguz
,,,Freshman,"Bellport, N.Y.",Bellport HS,1992-93 Women's Tennis Roster,,Barbara Ruhs
,,,Senior,"Tampa, Fla.",Tampa Prep,1992-93 Women's Tennis Roster,,Seema Shah
,,,Sophomore,"Vienna, Va.",Madison HS,1992-93 Women's Tennis Roster,,Jeannie Yoo
,,,Junior,"Lakewood, Ohio",Lakewood HS,1991-92 Women's Tennis Roster,,Judy Beckenbach
,,,Freshman,"Missoula, Mont.",Hellgate HS,1991-92 Women's Tennis Roster,,Hallie Bornstein
,,,Freshman,"Scotts Valley, Calif.",Harbor HS,1991-92 Women's Tennis Roster,,Nicole Carter
,,,Sophomore,"Kissimee, Fla.",Osceola HS,1991-92 Women's Tennis Roster,,Wan Chen
,,,Sophomore,"Redondo Beach, Calif.",South HS,1991-92 Women's Tennis Roster,,Michelle Deasy
,,,Freshman,"Duluth, Minn.",East HS,1991-92 Women's Tennis Roster,,Kristin DeLano
,,,Freshman,"Longmeadow, Ill.",New Trier HS,1991-92 Women's Tennis Roster,,Greer Gilson
,,,Junior,"Albany, N.Y.",Albany HS,1991-92 Women's Tennis Roster,,Alyssa Kahn
,,,Senior,"Matawan, N.J.",Matawan Regional HS,1991-92 Women's Tennis Roster,,Jennifer Kenas
,,,Freshman,"Nairobi, Kenya",Hillcrest Secondary School,1991-92 Women's Tennis Roster,,Nathalie Raguz
,,,Freshman,"Vienna, Va.",Madison HS,1991-92 Women's Tennis Roster,,Jeannie Yoo
,,,Sophomore,"Lakewood, Ohio",Lakewood HS,1990-91 Women's Tennis Roster,,Judy Beckenbach
,,,Freshman,"Kissimee, Fla.",Osceola HS,1990-91 Women's Tennis Roster,,Wan Chen
,,,Freshman,"Redondo Beach, Calif.",South HS,1990-91 Women's Tennis Roster,,Michelle Deasy
,,,Sophomore,"Albany, N.Y.",Albany HS,1990-91 Women's Tennis Roster,,Alyssa Kahn
,,,Junior,"New City, N.Y.",Clarkstown HS North,1990-91 Women's Tennis Roster,,Carol Katz
,,,Junior,"Matawan, N.J.",Matawan Regional HS,1990-91 Women's Tennis Roster,,Jennifer Kenas
,,,Senior,"Binghamton, N.Y.",seton Catholic Central HS,1990-91 Women's Tennis Roster,,Christine McKenna
,,,Freshman,"Baltimore, Md.",Park School,1990-91 Women's Tennis Roster,,Julie Mendelson
,,,Freshman,"Portland, Ore.",Lincoln HS,1990-91 Women's Tennis Roster,,LizAnn Rogovoy
,,,Sophomore,"Tampa, Fla.",Tampa Prep,1990-91 Women's Tennis Roster,,Seema Shah
,,,Freshman,"Lakewood, Ohio",Lakewood HS,1989-90 Women's Tennis Roster,,Judy Beckenbach
,,,Senior,"Princeton Jct., N.J.",W. Windsor-Plainsboro HS,1989-90 Women's Tennis Roster,,Dolly Chugh
,,,Senior,"Santa Fe, Calif.",Torrey Pines HS,1989-90 Women's Tennis Roster,,Jennifer Demsey
,,,Junior,"Schenectady, N.Y.",Niskayuna HS,1989-90 Women's Tennis Roster,,Ainslee Haffner
,,,Sophomore,"New City, N.Y.",Clarkstown HS North,1989-90 Women's Tennis Roster,,Carol Katz
,,,Freshman,"Bryn Mawr, Pa.",Friends Central HS,1989-90 Women's Tennis Roster,,Lisa Kay
,,,Sophomore,"Matawan, N.J.",Matawan Regional HS,1989-90 Women's Tennis Roster,,Jennifer Kenas
,,,Freshman,"Great Neck, N.Y.",Great Neck South HS,1989-90 Women's Tennis Roster,,Jennifer Koen
,,,Sophomore,"Roslyn, N.Y.",Herricks HS,1989-90 Women's Tennis Roster,,Beth Levine
,,,Junior,"Binghamton, N.Y.",seton Catholic Central HS,1989-90 Women's Tennis Roster,,Christine McKenna
,,,Freshman,"Fairfax, Va.",W.T. Woodson HS,1989-90 Women's Tennis Roster,,Ali Oshinky
,,,Freshman,"Tampa, Fla.",Tampa Prep,1989-90 Women's Tennis Roster,,Seema Shah
,,,Junior,"Princeton Jct., N.J.",W. Windsor-Plainsboro HS,1988-89 Women's Tennis Roster,,Dolly Chugh
,,,Junior,"Santa Fe, Calif.",Torrey Pines HS,1988-89 Women's Tennis Roster,,Jennifer Demsey
,,,Sophomore,"Schenectady, N.Y.",Niskayuna HS,1988-89 Women's Tennis Roster,,Ainslee Haffner
,,,Freshman,"Anchorage, Alaska",A.J. Dimond HS,1988-89 Women's Tennis Roster,,Gina Johnson
,,,Freshman,"New City, N.Y.",Clarkstown HS North,1988-89 Women's Tennis Roster,,Carol Katz
,,,Freshman,"Matawan, N.J.",Matawan Regional HS,1988-89 Women's Tennis Roster,,Jennifer Kenas
,,,Freshman,"Falls Church, Va.",Bishop O'Connell HS,1988-89 Women's Tennis Roster,,Marine Leray
,,,Freshman,"Roslyn, N.Y.",Herricks HS,1988-89 Women's Tennis Roster,,Beth Levine
,,,Sophomore,"Omaha, Neb.",West Side HS,1988-89 Women's Tennis Roster,,Lynn Veitzer
,,,Sophomore,"Princeton Jct., N.J.",W. Windsor-Plainsboro HS,1987-88 Women's Tennis Roster,,Dolly Chugh
,,,Sophomore,"Santa Fe, Calif.",Torrey Pines HS,1987-88 Women's Tennis Roster,,Jennifer Demsey
,,,Freshman,"Schenectady, N.Y.",Niskayuna HS,1987-88 Women's Tennis Roster,,Ainslee Haffner
,,,Senior,"La Jolla, Calif.",Glenbrook North HS (Ill.),1987-88 Women's Tennis Roster,,Linda Manaster
,,,Senior,"Brunswick, Ohio",Brunswick HS,1987-88 Women's Tennis Roster,,Erin McPeak
,,,Freshman,"Pittsburgh, Pa.",Philip Exeter Academy,1987-88 Women's Tennis Roster,,Karen Paul
,,,Junior,"Rochester, N.Y.",Brighton HS,1987-88 Women's Tennis Roster,,Ellen Phillips
,,,Senior,"Stamford, Conn.",Greenwich Academy,1987-88 Women's Tennis Roster,,Barbara Prins
,,,Senior,"Scituate, Mass.",Scituate HS,1987-88 Women's Tennis Roster,,Carolyn Savage
,,,Freshman,"Omaha, Neb.",West Side HS,1987-88 Women's Tennis Roster,,Lynn Veitzer
,,,Freshman,"Princeton Jct., N.J.",W. Windsor-Plainsboro HS,1986-87 Women's Tennis Roster,,Dolly Chugh
,,,Senior,"West Orange, N.J.",Northfield Mt. Hermon Prep,1986-87 Women's Tennis Roster,,Cynthia Cummis
,,,Freshman,"Santa Fe, Calif.",Torrey Pines HS,1986-87 Women's Tennis Roster,,Jennifer Demsey
,,,Freshman,"Ithaca, N.Y.",Ithaca HS,1986-87 Women's Tennis Roster,,Cheryl Hines
,,,Senior,"Anchorage, Alaska",Diamond HS,1986-87 Women's Tennis Roster,,Jana Klein
,,,Senior,"Aberdeen, N.J.",Matawan Regional HS,1986-87 Women's Tennis Roster,,Lauren Levine
,,,Junior,"Brunswick, Ohio",Brunswick HS,1986-87 Women's Tennis Roster,,Erin McPeak
,,,Senior,"Tulsa, Okla.",American HS,1986-87 Women's Tennis Roster,,Anne Meinig
,,,Junior,"Stamford, Conn.",Greenwich Academy,1986-87 Women's Tennis Roster,,Barbara Prins
,,,Junior,"Scituate, Mass.",Scituate HS,1986-87 Women's Tennis Roster,,Carolyn Savage
,,,Senior,"Newton, Mass.",Newton North HS,1986-87 Women's Tennis Roster,,Jennifer Stone
,,,Junior,"West Orange, N.J.",Northfield Mt. Hermon Prep,1985-86 Women's Tennis Roster,,Cynthia Cummis
,,,Junior,"Anchorage, Alaska",Diamond HS,1985-86 Women's Tennis Roster,,Jana Klein
,,,Junior,"Aberdeen, N.J.",Matawan Regional HS,1985-86 Women's Tennis Roster,,Lauren Levine
,,,Sophomore,"Hamburg, N.Y.",Frontier Central HS,1985-86 Women's Tennis Roster,,Chandra Louise
,,,Sophomore,"La Jolla, Calif.",Glenbrook North HS (Ill.),1985-86 Women's Tennis Roster,,Linda Manaster
,,,Sophomore,"Brunswick, Ohio",Brunswick HS,1985-86 Women's Tennis Roster,,Erin McPeak
,,,Junior,"Tulsa, Okla.",American HS,1985-86 Women's Tennis Roster,,Anne Meinig
,,,Sophomore,"Stamford, Conn.",Greenwich Academy,1985-86 Women's Tennis Roster,,Barbara Prins
,,,Sophomore,"Scituate, Mass.",Scituate HS,1985-86 Women's Tennis Roster,,Carolyn Savage
,,,Redshirt Freshman,"Colorado Springs, Colo.",William J. Palmer HS,1985-86 Women's Tennis Roster,,Andrea Sparks
,,,Senior,"Cincinnati, Ohio.",Indian Hill HS,1984-85 Women's Tennis Roster,,Cici Cryer
,,,Sophomore,"Greenwich, Conn.",Greenwich HS,1984-85 Women's Tennis Roster,,Janice Deutsch
,,,Sophomore,"Swampscott, Mass.",Swampscott HS,1984-85 Women's Tennis Roster,,Cara Giarusso
,,,Sophomore,"Anchorage, Alaska",Diamond HS,1984-85 Women's Tennis Roster,,Jana Klein
,,,Sophomore,"Aberdeen, N.J.",Matawan Regional HS,1984-85 Women's Tennis Roster,,Lauren Levine
,,,Freshman,"La Jolla, Calif.",Glenbrook North HS (Ill.),1984-85 Women's Tennis Roster,,Linda Manaster
,,,Freshman,"Brunswick, Ohio",Brunswick HS,1984-85 Women's Tennis Roster,,Erin McPeak
,,,Sophomore,"Tulsa, Okla.",American HS,1984-85 Women's Tennis Roster,,Anne Meinig
,,,Freshman,"Stamford, Conn.",Greenwich Academy,1984-85 Women's Tennis Roster,,Barbara Prins
,,,Freshman,"Scituate, Mass.",Scituate HS,1984-85 Women's Tennis Roster,,Carolyn Savage
,,,Sophomore,"Newton, Mass.",Newton North HS,1984-85 Women's Tennis Roster,,Jennifer Stone
,,,Junior,"Cincinnati, Ohio.",Indian Hill HS,1983-84 Women's Tennis Roster,,Cici Cryer
,,,Freshman,"Greenwich, Conn.",Greenwich HS,1983-84 Women's Tennis Roster,,Janice Deutsch
,,,Sophomore,"Ithaca, N.Y.",Ithaca HS,1983-84 Women's Tennis Roster,,Linda Falkson
,,,Senior,"Radnor, Pa.",Radnor HS,1983-84 Women's Tennis Roster,,Anne Gill
,,,Junior,"Sharon, Pa.",Western Reserve Academy (Ohio),1983-84 Women's Tennis Roster,,Claire Holt
,,,Sophomore,"New Providence, N.J.",New Providence HS,1983-84 Women's Tennis Roster,,Peggy Keane
,,,Freshman,"Anchorage, Alaska",Diamond HS,1983-84 Women's Tennis Roster,,Jana Klein
