Field4,Field7_Text,Field7_Link,Field1,Field8,Field9,Field11,Field2_Text,Field3_Text
,Michelle Wang,https://cornellbigred.com/sports/womens-tennis/roster/michelle-wang/42569,Sophomore,"Sammamish, Wash.",Redmond HS,2016-17 Women's Tennis Roster,Michelle Wang,
,Marika Cusick,https://cornellbigred.com/sports/womens-tennis/roster/marika-cusick/41165,Junior,"Hinsdale, Ill.",Hinsdale Central HS,2015-16 Women's Tennis Roster,Marika Cusick,
,Alexandra D'Ascenzo,https://cornellbigred.com/sports/womens-tennis/roster/alexandra-d-ascenzo/41166,Junior,"West Bloomfield, Mich.",Frankel Jewish Academy,2015-16 Women's Tennis Roster,Alexandra D'Ascenzo,
,Allegra Hanlon,https://cornellbigred.com/sports/womens-tennis/roster/allegra-hanlon/41167,Sophomore,"Key Biscayne, Fla.",Ransom Everglades School,2015-16 Women's Tennis Roster,Allegra Hanlon,
,Mariko Iinuma,https://cornellbigred.com/sports/womens-tennis/roster/mariko-iinuma/41174,Freshman,"San Mateo, Calif.",Hillsdale HS,2015-16 Women's Tennis Roster,Mariko Iinuma,
,Kristin Quill,https://cornellbigred.com/sports/womens-tennis/roster/kristin-quill/41168,Junior,"Nanuet, N.Y.",Nanuet HS,2015-16 Women's Tennis Roster,Kristin Quill,
,Priyanka Shah,https://cornellbigred.com/sports/womens-tennis/roster/priyanka-shah/41169,Sophomore,"Somerset, N.J.",Lake Nona HS (Fla.),2015-16 Women's Tennis Roster,Priyanka Shah,
,Madison Stevens,https://cornellbigred.com/sports/womens-tennis/roster/madison-stevens/41170,Sophomore,"Mendham, N.J.",The Pingry School,2015-16 Women's Tennis Roster,Madison Stevens,
,Jane Stewart,https://cornellbigred.com/sports/womens-tennis/roster/jane-stewart/41171,Senior,"New York, NY",The Chapin School (Rice University),2015-16 Women's Tennis Roster,Jane Stewart,
,Lizzie Stewart,https://cornellbigred.com/sports/womens-tennis/roster/lizzie-stewart/41172,Sophomore,"Oakton, Va.",Oakton HS,2015-16 Women's Tennis Roster,Lizzie Stewart,
,Dena Tanenbaum,https://cornellbigred.com/sports/womens-tennis/roster/dena-tanenbaum/41173,Senior,"Manasquan, N.J.",Red Bank Catholic,2015-16 Women's Tennis Roster,Dena Tanenbaum,
,Michelle Wang,https://cornellbigred.com/sports/womens-tennis/roster/michelle-wang/41176,Freshman,"Sammamish, Wash.",Redmond HS,2015-16 Women's Tennis Roster,Michelle Wang,
,Marika Cusick,https://cornellbigred.com/sports/womens-tennis/roster/marika-cusick/37754,Sophomore,"Hinsdale, Ill.",Hinsdale Central HS,2014-15 Women's Tennis Roster,Marika Cusick,
,Alexandra D'Ascenzo,https://cornellbigred.com/sports/womens-tennis/roster/alexandra-d-ascenzo/37755,Sophomore,"West Bloomfield, Mich.",Frankel Jewish Academy,2014-15 Women's Tennis Roster,Alexandra D'Ascenzo,
,Allegra Hanlon,https://cornellbigred.com/sports/womens-tennis/roster/allegra-hanlon/37763,Freshman,"Key Biscayne, Fla.",Ransom Everglades School,2014-15 Women's Tennis Roster,Allegra Hanlon,
,Kristin Quill,https://cornellbigred.com/sports/womens-tennis/roster/kristin-quill/37757,Sophomore,"Nanuet, N.Y.",Nanuet HS,2014-15 Women's Tennis Roster,Kristin Quill,
,Priyanka Shah,https://cornellbigred.com/sports/womens-tennis/roster/priyanka-shah/37761,Freshman,"Somerset, N.J.",Lake Nona HS (Fla.),2014-15 Women's Tennis Roster,Priyanka Shah,
,Madison Stevens,https://cornellbigred.com/sports/womens-tennis/roster/madison-stevens/37764,Freshman,"Mendham, N.J.",The Pingry School,2014-15 Women's Tennis Roster,Madison Stevens,
,Jane Stewart,https://cornellbigred.com/sports/womens-tennis/roster/jane-stewart/40879,Junior,"New York, NY",The Chapin School (Rice University),2014-15 Women's Tennis Roster,Jane Stewart,
,Lizzie Stewart,https://cornellbigred.com/sports/womens-tennis/roster/lizzie-stewart/37762,Freshman,"Oakton, Va.",Oakton HS,2014-15 Women's Tennis Roster,Lizzie Stewart,
,Dena Tanenbaum,https://cornellbigred.com/sports/womens-tennis/roster/dena-tanenbaum/37758,Junior,"Manasquan, N.J.",Red Bank Catholic,2014-15 Women's Tennis Roster,Dena Tanenbaum,
,Shannon Comolli,https://cornellbigred.com/sports/womens-tennis/roster/shannon-comolli/36831,Senior,"Newburyport, Mass.",Philips Exeter Academy,2013-14 Women's Tennis Roster,Shannon Comolli,
,Marika Cusick,https://cornellbigred.com/sports/womens-tennis/roster/marika-cusick/34247,Freshman,"Hinsdale, Ill.",Hinsdale Central HS,2013-14 Women's Tennis Roster,Marika Cusick,
,Alexandra D'Ascenzo,https://cornellbigred.com/sports/womens-tennis/roster/alexandra-d-ascenzo/34248,Freshman,"West Bloomfield, Mich.",Frankel Jewish Academy,2013-14 Women's Tennis Roster,Alexandra D'Ascenzo,
