FirstLast,Year,YearsPlayed,Gender,fuzz_ratio,fuzz_pratio,fuzz_tokensort,fuzz_tokenset,fuzz_wratio,tennis_yn,School_yn,SameName_yn,SameTennis_yn,Decade,prediction
David SEIFER,1954.0,3.0,1,58.0,58.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,1950.0,0.0
James McCLELLAN,1954.0,1.0,1,35.0,38.0,17.0,17.0,45.0,0.0,0.0,0.0,0.0,1950.0,0.0
Charles WORKMAN,1954.0,2.0,1,48.0,43.0,62.0,67.0,64.0,0.0,0.0,0.0,0.0,1950.0,0.0
Barry SEYMOUR,1954.0,2.0,1,16.0,17.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,1950.0,0.0
G. Barrett RICH,1954.0,1.0,1,23.0,33.0,33.0,33.0,43.0,0.0,0.0,0.0,0.0,1950.0,0.0
Jules COHEN,1955.0,2.0,1,17.0,18.0,35.0,35.0,33.0,0.0,0.0,0.0,0.0,1950.0,0.0
Alan ENGLANDER,1955.0,3.0,1,20.0,21.0,44.0,44.0,55.0,0.0,0.0,0.0,0.0,1950.0,0.0
Leslie POLLACK,1955.0,2.0,1,12.0,14.0,25.0,25.0,24.0,0.0,0.0,0.0,0.0,1950.0,0.0
Lawrence DESSNER,1955.0,2.0,1,56.0,56.0,50.0,69.0,69.0,0.0,0.0,0.0,0.0,1950.0,0.0
Richard RASKIND,1955.0,3.0,1,23.0,27.0,38.0,38.0,36.0,0.0,0.0,0.0,0.0,1950.0,0.0
William CRANSTON,1955.0,2.0,1,22.0,31.0,24.0,26.0,32.0,0.0,0.0,0.0,0.0,1950.0,0.0
Sam ENGLISH,1955.0,3.0,1,45.0,45.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,1950.0,0.0
John WILLIAMSON,1956.0,2.0,1,40.0,40.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,1950.0,0.0
Michael McCONE,1956.0,1.0,1,56.0,64.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0,1950.0,0.0
Gordon AMBACH,1956.0,1.0,1,17.0,20.0,35.0,35.0,33.0,0.0,0.0,0.0,0.0,1950.0,0.0
Michael MARRON,1956.0,2.0,1,27.0,38.0,27.0,27.0,34.0,0.0,0.0,0.0,0.0,1950.0,0.0
Eric MOORE,1956.0,3.0,1,53.0,56.0,63.0,63.0,63.0,0.0,0.0,0.0,0.0,1950.0,0.0
John SOMERVILLE,1957.0,1.0,1,15.0,27.0,24.0,24.0,28.0,0.0,0.0,0.0,0.0,1950.0,0.0
Conrad FISHER,1957.0,2.0,1,15.0,15.0,31.0,31.0,29.0,0.0,0.0,0.0,0.0,1950.0,0.0
Warren COX,1957.0,1.0,1,21.0,30.0,23.0,23.0,36.0,0.0,0.0,0.0,0.0,1950.0,0.0
John APPEL,1957.0,1.0,1,40.0,40.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,1950.0,0.0
J. Edward MEYER,1957.0,3.0,1,22.0,25.0,31.0,31.0,29.0,0.0,0.0,0.0,0.0,1950.0,0.0
John SKILLMAN,1957.0,1.0,1,23.0,24.0,38.0,38.0,38.0,0.0,0.0,0.0,0.0,1950.0,0.0
Samuel SCHOONMAKER,1958.0,3.0,1,30.0,33.0,91.0,91.0,91.0,0.0,0.0,0.0,0.0,1950.0,0.0
Samuel SCHOONMAKER,1990.0,2.0,1,30.0,33.0,91.0,91.0,91.0,0.0,0.0,0.0,0.0,1990.0,0.0
Harold WILLIAMSON,1958.0,1.0,1,19.0,20.0,25.0,25.0,31.0,0.0,0.0,0.0,0.0,1950.0,0.0
